Bill Number,Title,Status,Synopsis,Cross-filed bill,File codes,Subjects
SB0126,Estates and Trusts - Resignation of Trustee - Notice,Returned Passed,"Authorizing the trustee of a trust to resign under the Maryland Trust Act on 30 days' notice to qualified beneficiaries, the settlor, if living, all cotrustees, and any person that has a right to replace or appoint a successor to the resigning trustee.",HB0146,Estates and Trusts,Estates and Trusts -see also- Beneficiaries|Fiduciaries|Notices|Time
SB0127,State Government - Grants and Contracts - Reimbursement of Indirect Costs,Passed Enrolled,Altering the rate at which nonprofit organizations receiving State-funded grants or contracts may be reimbursed for indirect costs to match the greater of the rate established under relevant federal guidelines or 15%.,HB0300,"State Government - Procurement|State Government - Agencies, Offices, and Officials",Committees and Commissions|Contracts -see also- Procurement|Grants|Nonprofit Organizations|Procurement|Reimbursement Rates|Reports|Rules and Regulations|Sunset
SB0131,Anne Arundel County - Property Tax Credit - Supermarkets,Returned Passed,"Authorizing the governing body of Anne Arundel County or of a municipal corporation in Anne Arundel County to grant, by law, a property tax credit against the personal property tax imposed on personal property of a supermarket that completes certain construction and is located in a certain food desert retail incentive area; requiring the governing body to designate what constitutes a food desert retail incentive area for purposes of the tax credit; etc.",HB0598,Taxes - Property - Local,"Anne Arundel County|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Construction|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Food Insecurity|Laws and Ordinances -see also- Pub Local Laws; Uniform Laws|Meat, Poultry, Seafood -see also- Clams; Crabs; Food; Oyster|Municipal Corporations -see also- Annap; Balt; Hager; OC|Personal Property|Property Tax|Retail Sales|Tax Credits"
SB0138,Public Safety - Maryland 9-1-1 Board and Maryland Department of Emergency Management - Regulatory Authority,Approved by the Governor - Chapter 15,Authorizing the Maryland 9-1-1 Board to adopt regulations to implement and enforce certain responsibilities of the Board; and authorizing the Maryland Department of Emergency Management to adopt regulations to implement and enforce the responsibilities of the Department.,HB0423,Public Safety,"Committees and Commissions|Emergency Management, Department of|Emergency Services -see also- Ambul; Emergencies; etc.|Rules and Regulations"
SB0142,Marriage - Confidential Communication,Returned Passed,"Clarifying that ""spouse"" includes a former spouse for purposes of disclosure of confidential communications occurring during marriage; and establishing that a spouse, who is the alleged victim, is competent to disclose a confidential communication between spouses occurring during their marriage in a criminal action in which one spouse is charged with a crime against the other spouse.",HB0241,Criminal Law - Procedures,Communications -see also- ElecComm; Intergov; Telecom; etc.|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Disclosure|Privileged Communications|Spouses|Testimony -see also- Witnesses|Trials|Victims -see also- Criminal Injuries Compensation
SB0144,Corporations and Associations - Limited Worker Cooperative Associations - Authorization (Maryland Limited Worker Cooperative Association Act),Passed Enrolled,"Authorizing the formation of limited worker cooperative associations; defining ""limited worker cooperative association"" as a Maryland limited liability company that elects to be a limited worker cooperative association in accordance with the provisions of the Act;  and establishing rules and procedures for the formation, governance, conversion, and dissolution of limited worker cooperative associations.",HB0015,Corporations and Associations,"Appeals -see also- Judicial Review|Charters|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Cooperative Associations|Corporations -see also- Municipal Corps; Public Corps & Inst|Fees -see also- Attys' Fees; Devt Fees & Taxes|Gratuities|Hearings|Income Tax|Insurance Administration|Insurance -see also- Health Ins; MAIF; Motor Vehicle Ins|Liability|Limited Liability Companies|Meetings -see also- Hearings; Open Government|Mergers and Acquisitions|Names|Notices|Overtime|Personal Representatives|Records -see also- Land Records; Vital Records|Salaries and Compensation -see also- Overtime; Reimb. Rates|Voting -see also- Absentee and Mail-In Voting|Workers' Compensation|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
SB0147,State Board of Stationary Engineers - Member Appointments - Advice and Consent of the Senate,Returned Passed,Providing that the Governor appoint members of the State Board of Stationary Engineers with the advice and consent of the Senate.,,Business Occupations and Professions,Committees and Commissions|Engineers|General Assembly -see also- AELR Cmte; LegislativePolCmte|Governor|Public Officials -see also- Atty Gen; Compt; Coun Admin; etc
SB0148,State Board of Public Accountancy - Emeritus Status,Passed Enrolled,Authorizing the State Board of Public Accountancy to place a licensee on emeritus status under certain circumstances; requiring the Board to review an application for emeritus status within 90 days of receipt of the application; and requiring the Board to reinstate the license of an individual who is on emeritus status under certain circumstances.,HB0427,Business Occupations and Professions,"Accountants|Classifications and Designations|Committees and Commissions|Continuing Education|Forms|Interstate Affairs|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Notices|Retirement -see also- Mandatory Retirement|Time|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
SB0149,Climate Change Adaptation and Mitigation - Total Assessed Cost of Greenhouse Gas Emissions - Study and Reports,Returned Passed,"Requiring the Comptroller, in coordination with the Department of the Environment and the Department of Commerce, to conduct a study to assess the total cost of greenhouse gas emissions in the State and report certain findings to certain committees on or before December 1, 2026, on the total assessed cost of greenhouse gas emissions in the State based on the findings of a certain study; authorizing the Comptroller to hire a consultant to conduct the study; and requiring the report to include certain information and calculations.",HB0128,Environment|Natural Resources - Generally|Business Regulation,"Administrative Procedure Act|Agents and Brokers|Agriculture -see also- Agritourism; Cannabis Prd; Farm; etc.|Air Pollution|Aquaculture|Auditors and Audits|Awareness and Outreach|Bicycles|Building Maintenance and Repair|Charging Stations|Coal|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Commerce, Department of|Complaints|Comptroller|Conservation -see also- Soil Conservation|Construction|Corporations -see also- Municipal Corps; Public Corps & Inst|Counties -see also- Chartered Counties; Code Counties; etc.|Courts -see also- AppCt; Circuit; District; Orphans'; etc.|Credit|Electric Motor Vehicles|Emergencies -see also- Pandemics|Energy Matters -see also- Fuel; NuclearMatt; PwrPlnts; etc.|Environment, Department of the|Environmental Health|Environmental Justice|Environmental Matters -see also- Conserv; Nat Resrce; Pollut|Erosion -see also- Shore Erosion|Ethics|Farmland|Federal Government|Flood Control|Forests and Parks -see also- MdNatlCapPkPlnCm; Plants; etc.|Fuel -see also- Coal|Grants|Health -see also- COVID19; EnvHlth; MedCon; etc.|Highways|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Independent Contractors|Legislative Services, Department of|Liability|Loans -see also- Credit; Mortgages; Scholarships&SFA|Low-Income|Medical Assistance|Minorities|Municipal Corporations -see also- Annap; Balt; Hager; OC|Natural Resources -see also- Coal; For&Pks; Rivers; etc.|Nonprofit Organizations|Notices|Partnerships|Pollution -see also- Air Pollution; Litter; Water Pollution|Prices -see also- Consumer Price Index|Public Buildings and Facilities -see also- Stadiums; St Hse|Public Schools -see also- Primary Schools; Secondary Sch|Railroads|Renewable Energy Sources -see also- Geotherm; Solar; etc.|Reports|Revenue and Taxes -see also- (specific tax)|Rules and Regulations|School Buses|Settlement Procedures|Sewage|Soil Conservation|Standards and Best Practices|Studies -see also- Commitees & Commissions; Reports|Time|Transportation -see also- Aircraft; Airports; Boats; etc|Treasurers|Utilities -see also- Recycl; Refuse; Sewage; Teleph; Water|Wastewater|Weather|Weights and Measures|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
SB0150,Real Property - Recordation and Land Records - Requirements,Approved by the Governor - Chapter 66,"Altering certain provisions relating to the filing, maintenance, and transmittal of land records; and defining ""land record"" as any document recorded by a clerk of the circuit court relating to property.",HB0347,Real Property,Archives|Deeds|Electronic Communication|Electronic Documents|Electronic Government|Equipment -see also- Charging; Med. Equip.; MV Equip; etc.|Fees -see also- Attys' Fees; Devt Fees & Taxes|Land Records -see also- Deeds|Laws and Ordinances -see also- Pub Local Laws; Uniform Laws|Liens|Maps and Charts|Mortgages|Notices|Public Information|Real Property|Recordation|Records -see also- Land Records; Vital Records|Standards and Best Practices|State Documents -see also- Maryland Register|Titles -see also- Deeds|Transfer of Goods -see also- Goods&Svc; Leas&Rnt; RetailSale|Weights and Measures
SB0152,Criminal Law - Crimes Relating to Animals - Conviction and Sentencing,Returned Passed,Establishing that certain crimes relating to animals do not include certain activities; establishing that each animal harmed in a violation of a prohibition against animal cruelty is a separate offense and shall be deemed an individual victim for purposes of the sentencing guidelines stacking rule; establishing that a conviction for a crime relating to animals may not merge with a conviction for any other crime based on the act establishing the violation; etc.,HB0089,Criminal Law - Procedures,"Abuse -see also- Child Abuse; Dom. Viol.; Elder Abuse; etc|Animals -see also- Birds; Dogs; Domestic An; Horses; Livestk|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Fish and Fishing -see also- Aquaculture; FishNets&Dev|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Hunting -see also- Trapping|Meat, Poultry, Seafood -see also- Clams; Crabs; Food; Oyster|Penalties and Sentences -see also- Death Penalty|Pest Control|Victims -see also- Criminal Injuries Compensation"
SB0154,Access to Counsel in Evictions - Task Force and Special Fund,Returned Passed,"Extending through fiscal year 2028 distributions by the Comptroller from funds gained from abandoned property in the State to the Access to Counsel in Evictions Special Fund; altering the staff and duties of the Access to Counsel in Evictions Task Force; and extending through fiscal year 2028 an annual $14,000,000 appropriation by the Governor from the Access to Counsel in Evictions Special Fund to the Maryland Legal Services Corporation.",HB0103,"Real Property|State Government - Agencies, Offices, and Officials","Appropriations|Committees and Commissions|Comptroller|Eviction|Governor|Housing and Community Development, Department of|Legal Aid|Reports|Revenue and Taxes -see also- (specific tax)|Salaries and Compensation -see also- Overtime; Reimb. Rates|Sunset"
SB0156,Workgroup on Newborn Home Visiting Services - Establishment,Passed Enrolled,"Establishing the Workgroup on Universal Newborn Nurse Home Visiting Services; requiring the Workgroup to compile updated patient data and expenditure per patient from programs currently operating in the State, identify certain service gaps and potential funding sources to close the gaps, and identify workforce needs and make recommendations to address the needs; and requiring the Workgroup to report its findings and recommendations to the Governor and the General Assembly by December 31, 2025.",HB0334,Public Health|Health - Insurance,"Data -see also- Census; Demographics|Health -see also- COVID19; EnvHlth; MedCon; etc.|Health, Department of|Health Insurance -see also- ACA; HMOs; MCOs|Health Maintenance Organizations -see also- Manage Care Orgs|Health Occupations -see also- (specific health occupations)|Home Care Services -see also- Respite Care|Infants and Toddlers (0-3)|Internet -see also- Internet Access|Nonprofit Organizations|Nurses -see also- Nurse Practitioners; Nursing Assistants|Reports|Rules and Regulations|Studies -see also- Commitees & Commissions; Reports|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
SB0157,Maryland Disability Service Animal Program - Established,Passed Enrolled,Establishing the Maryland Disability Service Animal Program in the Department of Disabilities to select one or more nonprofit training entities to participate in the Program and provide additional funding mechanisms to assist eligible individuals in the Program; requiring the Department to select at least one nonprofit training entity to develop and implement a training protocol and to select qualified participants; and establishing the Maryland Disability Service Animal Program Fund to pay a participating nonprofit training entity.,HB0384,"Disabled|State Government - Agencies, Offices, and Officials","Appropriations|Awareness and Outreach|Budgets -see also- Capital Budgets|Comptroller|Disabilities, Department of|Disabilities|Education -see also- ContEd; DrvEd; HigherEd; etc.|Governor|Human Services, Department of|Investments -see also- Securities|Nonprofit Organizations|Notices|Revenue and Taxes -see also- (specific tax)|Rules and Regulations|Service Animals|Sunset|Treasurers"
SB0158,Estates and Trusts - Maryland Trust Decanting Act - Notification and Document Transmittal,Returned Passed,Specifying the manner in which notice regarding an exercise of the decanting power or the sending of a document under the Maryland Trust Decanting Act is required to be provided.,HB0088,Estates and Trusts,Electronic Documents|Estates and Trusts -see also- Beneficiaries|Fiduciaries|Notices|Postal Service
SB0160,Residential Property - Assignment of Contracts of Sale - Disclosure Requirements and Rescission,Passed Enrolled,"Authorizing a seller, buyer, or assignee of certain residential property to rescind a contract of sale without penalty at any time before closing if a certain seller does not provide a certain notice; establishing that an assignee is entitled to a refund of any deposit paid for the purchase of residential real property under certain circumstances; requiring that a contract of sale comply with the requirements of the Act; and applying the Act prospectively.",HB0124,Real Property,Agents and Brokers|Contracts -see also- Procurement|Disclosure|Real Estate -see also- Agents and Brokers|Residential Property -see also- Apartments; Condominiums|Titles -see also- Deeds|Wholesale Distribution
SB0162,"Agriculture - Departmental Authority Over Identification, Inspection, and Sale of Cantaloupes - Repeal",Returned Passed,"Repealing the Department of Agriculture's authority over the identification, inspection, and sale of cantaloupes.",,Agriculture,"Agriculture, Department of|Agriculture -see also- Agritourism; Cannabis Prd; Farm; etc.|Annotated Code of Maryland|Classifications and Designations|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Inspections -see also- Motor Vehicle Inspection"
SB0163,Health â General Article â References to Mental Health,Returned Passed,"Replacing references to mental hygiene with references to mental health in certain provisions of law governing public health; establishing that, by July 1, 2027, the Department of Health shall conduct a thorough review of Department regulations and adopt regulations to ensure consistency with the Act; and requiring the Department to update all public-facing electronic materials to be consistent with the Act as soon as practicable.",,Public Health,"Electronic Government|Health -see also- COVID19; EnvHlth; MedCon; etc.|Health, Department of|Mental and Behavioral Health -see also- Aut; Cogn; Dev; etc.|Public Information|Rules and Regulations"
SB0164,Terminology and Obsolete References - Maryland State Firefighters Association and Related Terms,Returned Passed,Replacing obsolete references to the Maryland State Firemen's Association with references to the Maryland State Firefighters Association; and replacing related terminology.,HB0580,Public Safety,"Annotated Code of Maryland|Committees and Commissions|Fire Protection|Gender -see also- Women|Legislative Services, Department of|Rules and Regulations"
SB0168,Confined Aquatic Disposal Cells - Construction - Moratorium,Returned Passed,"Prohibiting the Department of the Environment from processing or making any recommendation on a certain application submitted for the purpose of constructing a confined aquatic disposal cell from June 1, 2025, through May 31, 2029; and prohibiting the Board of Public Works from approving a certain application submitted for the purpose of constructing a confined aquatic disposal cell from June 1, 2025, through May 31, 2029.",,Environment,"Boundaries|Coastal Bays|Dredging|Environment, Department of the|Environmental Justice|Environmental Matters -see also- Conserv; Nat Resrce; Pollut|Pollution -see also- Air Pollution; Litter; Water Pollution|Public Works, Board of|Refuse Disposal -see also- Recycling|Rivers, Streams, and Lakes|Storage|Sunset|Time|Water -see also- Coastal Bays; Riv,Str,Lks; Wastewater; etc.|Wetlands"
SB0172,Maryland Veterans Trust - Board of Trustees - Membership,Returned Passed,Altering the membership of the Board of Trustees of the Maryland Veterans Trust to include the Secretary of Disabilities or the Secretary's designee.,,"State Government - Agencies, Offices, and Officials","Disabilities, Department of|Estates and Trusts -see also- Beneficiaries|Veterans"
SB0174,Interstate Social Work Licensure Compact,Approved by the Governor - Chapter 10,Entering into the Social Work Licensure Compact for the purpose of authorizing regulated social workers who hold multistate licenses to practice social work in member states; establishing requirements for multistate licensure; establishing the Social Work Licensure Compact Commission; providing for withdrawal from the Compact; and providing that the Act is contingent on the enactment of substantially similar legislation in six other states.,HB0345,Health Occupations,"Committees and Commissions|Contracts -see also- Procurement|Discipline|Health Occupations -see also- (specific health occupations)|Internet -see also- Internet Access|Interstate Affairs|Investigations and Inquiries -see also- Crim Bckgrnd Invest|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Meetings -see also- Hearings; Open Government|Notices|Open Government|Records -see also- Land Records; Vital Records|Reports|Social Workers|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
SB0175,Public Safety - Fuel Gas Piping Systems and Corrugated Stainless Steel Tubing - Prohibitions and Study,Passed Enrolled,"Prohibiting the sale, offer for sale, transfer, or distribution of nonconductive jacketed corrugated stainless steel tubing; establishing  a civil penalty of up to $1,000 for a violation of the Act; requiring the Maryland Department of Labor, in collaboration with the State Fire Prevention Commission, the State Fire Marshal, and local inspectors to conduct a study and make recommendations regarding corrugated stainless steel tubing and other fuel gas piping systems and report to certain committees of the General Assembly by December 1, 2025; etc.",HB0222,Business Regulation|Public Safety,"Civil Offenses|Codes -see also- Annotated Code of Md; Building Codes|Commercial Property|Committees and Commissions|Construction|Equipment -see also- Charging; Med. Equip.; MV Equip; etc.|Fines -see also- Penalties and Sentences|Fire Protection|Fuel -see also- Coal|Goods and Services -see also- Retail Sales; TermnSvc; TrfGds|Industry and Technology|Inspections -see also- Motor Vehicle Inspection|Labor, Department of|Penalties and Sentences -see also- Death Penalty|Reports|Residential Property -see also- Apartments; Condominiums|Safety -see also- Occupational Safety|Standards and Best Practices|Studies -see also- Commitees & Commissions; Reports|Utilities -see also- Recycl; Refuse; Sewage; Teleph; Water"
SB0177,Procurement - State Department of Education - Local Food Purchasing Program,Returned Passed,"Requiring the State Department of Education, in coordination with the Department of General Services and the Department of Agriculture, to establish a program to procure local food for local school systems from certified local farms and certified Chesapeake invasive species providers under certain circumstances; altering a certain percentage price preference adopted by the Board of Public Works by regulations; requiring the Board to adopt certain regulations relating to limiting responses for certain procurements; etc.",HB0056,State Government - Procurement|Primary and Secondary Education,"Administrative Agencies|Agriculture, Department of|Boundaries|Education, State Department of|Farmers and Farming -see also- Agriculture; Farmland|Farmland|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|General Services, Department of|Intergovernmental Cooperation -see also- AdmAgn; Cmts; etc.|Invasive Species -see also- Animals; Insects; Plants|Procurement|Public Schools -see also- Primary Schools; Secondary Sch|Public Works, Board of|Reports"
SB0178,"Anne Arundel County - Property Tax Credit - Habitat for Humanity of the Chesapeake, Incorporated",Returned Passed,"Altering the name of Arundel Habitat for Humanity, Inc., to be Habitat for Humanity of the Chesapeake, Incorporated, for purposes of a certain property tax credit against the county or municipal corporation tax imposed on the entity; authorizing the tax credit for any real property owned by the entity; and applying the Act to all taxable years beginning after June 30, 2025.",HB0447,Taxes - Property - Local,Anne Arundel County|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Municipal Corporations -see also- Annap; Balt; Hager; OC|Names|Property Tax|Real Property|Tax Credits
SB0181,Correctional Services - Geriatric and Medical Parole,Passed Enrolled,"Requiring the Maryland Parole Commission to consider the age of  incarcerated individuals when determining whether to grant parole; altering how the Commission evaluates a request for medical parole, including providing for a meeting between the incarcerated individual and the Commission; requiring the Commission to develop procedures for assessing parole requests by older incarcerated individuals; requiring the Commission to report yearly to the Justice Reinvestment Oversight Board on the outcomes of certain parole considerations; etc.",HB0190,Corrections,"Age -see also- Age of Maj; Children; Elderly; Inf&Tod.; etc|Committees and Commissions|Correctional Institutions -see also- Patuxent Institution|Death -see also- Homicide; Murder; Wrongful Death|Disabilities|Discipline|Elderly Persons (65+) -see also- Elder Abuse and Neglect|Governor|Health -see also- COVID19; EnvHlth; MedCon; etc.|Health Care Facilities -see also- Clinics; Hospices; etc|Health Occupations -see also- (specific health occupations)|Hearings|Hospitals -see also- Clinics; State Hospitals|Housing -see also- Apartments; Condos; Mobile & Manuf  Homes|Incarcerated Individuals|Long-Term Care -see also- Continuing Care; Nursing Homes|Medical Conditions -see also- AIDS; COVID-19; rabies|Medical Treatments|Mental and Behavioral Health -see also- Aut; Cogn; Dev; etc.|Notices|Parole and Probation|Personal Representatives|Physicians -see also- MedExmnrs; Pediatr; Psychiatrists etc.|Prerelease and Reentry|Psychologists|Public Safety and Correctional Services, Department of|Records -see also- Land Records; Vital Records|Recruitment and Hiring|Repeat Offenders|Reports|Revenue and Taxes -see also- (specific tax)|Rules and Regulations|Time|Victims -see also- Criminal Injuries Compensation|Violence -see also- Domestic Violence; Hate Crimes"
SB0182,Maryland Veterans Service Animal Program - Eligibility - Family Members of Veterans,Returned Passed,Expanding eligibility for the Maryland Veterans Service Animal Program to include a spouse or dependent of an eligible veteran.,,"State Government - Agencies, Offices, and Officials",Military Families|Service Animals|Veterans
SB0183,State Department of Assessments and Taxation - Notification of Constant Yield Tax Rate - Alteration,Approved by the Governor - Chapter 72,Altering the requirement that the State Department of Assessments and Taxation notify each taxing authority of the constant yield tax rate for each taxable year by requiring that the notice be sent by the Department to a taxing authority only on the request of the taxing authority.,HB0133,Taxes - Property,"Assessments -see also- Property Tax|Assessments and Taxation, Department of|Baltimore City|Counties -see also- Chartered Counties; Code Counties; etc.|Municipal Corporations -see also- Annap; Balt; Hager; OC|Notices|Property Tax|Real Property"
SB0184,Charitable Organizations - Late Fees and Registration - Suspension and Cancellation Requirements,Approved by the Governor - Chapter 80,Authorizing the Secretary of State to suspend payment of certain late fees assessed to certain charitable organizations under certain circumstances; and authorizing the Secretary of State to cancel a charitable organization's registration or reinstate a charitable organization's canceled registration under certain circumstances.,HB0239,Business Regulation,Electronic Communication|Fees -see also- Attys' Fees; Devt Fees & Taxes|Nonprofit Organizations|Notices|Registration -see also- Motor Vehicle Registration|Reports|Rules and Regulations|Secretary of State|Time
SB0186,Natural Resources - Invasive Blue Catfish Pilot Program,Returned Passed,"Establishing the Invasive Blue Catfish Pilot Program in the Department of Natural Resources to curb the spread of the invasive blue catfish in the Chesapeake Bay and its tributaries; requiring the Department to expand the use of practices determined to be effective under the Program; and requiring the Department to report to the Governor and the General Assembly by December 1, 2025, on its findings and recommendations based on the Pilot Program.",HB0446,Hunting and Fishing,"Boundaries|Chesapeake Bay -see also- Chesapeake Bay Restoration|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Committees and Commissions|Emergency Bills|Fish and Fishing -see also- Aquaculture; FishNets&Dev|Fishing Nets and Devices|Invasive Species -see also- Animals; Insects; Plants|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Natural Resources -see also- Coal; For&Pks; Rivers; etc.|Natural Resources, Department of|Pilot Programs|Reports|Rules and Regulations|Sunset"
SB0187,Drunk Driving - Commercial Driver's Licenses - Disqualification From Driving,Approved by the Governor - Chapter 50,"Requiring the Motor Vehicle Administration to disqualify any individual from driving a commercial motor vehicle for 1 year if the individual, while holding a commercial instructional permit or commercial driver's license, drives or attempts to drive any motor vehicle while the alcohol concentration of the person's blood or breath is 0.08 or greater.",HB0189,Vehicle Laws - Drunk Driving,Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Drivers' Licenses|Drunk and Drugged Driving|Motor Vehicle Administration|Motor Vehicle Operation|Penalties and Sentences -see also- Death Penalty|Transportation -see also- Aircraft; Airports; Boats; etc
SB0194,State Finance and Procurement - State Leasing of Real Property,Approved by the Governor - Chapter 76,"Increasing the noncompetitive threshold for State leases of real property from less than 2,500 square feet to up to 5,000 square feet;  altering the time frame during which the State is required to advertise the need for rental of building space from at least 30 days to 20 days before proposals for lease are due; requiring the advertisement to be in certain newspapers providing notice to at least the people of the affected locality; and requiring the notice to be posted on the Department's website and eMaryland Marketplace.",HB0073,State Government - Procurement,"Advertising|General Services, Department of|Internet -see also- Internet Access|Leases and Rent|Notices|Procurement|Real Property|Time"
SB0196,Procurement - Electronic Transactions - Clarification of Fees Due,Approved by the Governor - Chapter 54,Specifying that fees collected for electronic transactions for procurements are those due to the State and not any fees due to a third party.,HB0284,State Government - Procurement,Electronic Commerce -see also- Electronic Funds Transfer|Electronic Government|Fees -see also- Attys' Fees; Devt Fees & Taxes|Procurement
SB0197,Maryland Correctional Training Commission - Membership,Approved by the Governor - Chapter 88,Altering the membership of the Maryland Correctional Training Commission to include the Director and an employee of the Division of Parole and Probation within the Department of Public Safety and Correctional Services; and providing that certain Commission members may serve personally at a Commission meeting or designate a representative from the member's unit or association.,HB0123,"State Government - Agencies, Offices, and Officials|Corrections","Committees and Commissions|Correctional Institutions -see also- Patuxent Institution|Job Training -see also- Continuing Ed; Vocational Rehab|Parole and Probation|Public Officials -see also- Atty Gen; Compt; Coun Admin; etc|Public Safety and Correctional Services, Department of"
SB0199,Criminal Procedure - Sexual Assault Exam and Treatment Reimbursement,Approved by the Governor - Chapter 90,"Providing that the Governor's Office of Crime Prevention and Policy, rather than the Criminal Injuries Compensation Board, is responsible for payment to a physician, qualified health care provider, and hospital for providing certain services to a victim of an alleged rape or sexual offense or a victim of alleged child sexual abuse.",HB0136,Public Safety|Public Health,"Chemical Tests|Crime Prevention and Policy, Governor's Office of|Forensics|Medical Testing and Diagnosis|Medical Treatments|Salaries and Compensation -see also- Overtime; Reimb. Rates|Sexual Offenses"
SB0200,Board of Trustees of the Maryland Teachers and State Employees Supplemental Retirement Plans - Renaming,Returned Passed,Renaming the Board of Trustees of the Maryland Teachers and State Employees Supplemental Retirement Plans to be the Board of Trustees of the Maryland State Employees Supplemental Retirement Plans; and providing that the Board of Trustees of the Maryland State Employees Supplemental Retirement Plans is the successor of the Board of Trustees of the Maryland Teachers and State Employees Supplemental Retirement Plans.,HB0144,State Government - Pensions and Retirement,"Annotated Code of Maryland|Committees and Commissions|Legislative Services, Department of|Names|Retirement -see also- Mandatory Retirement|State Employees|Teachers"
SB0202,"Public Safety - Statewide DNA Database System, DNA Collection, and Penalties - Alterations",Approved by the Governor - Chapter 92,Requiring a certain DNA sample to be collected in a certain manner from an individual who is required to register as a sex offender; requiring a DNA sample to be collected by a certain individual or at a certain location under certain circumstances; requiring a custodial agency or correctional facility to ensure a DNA sample is collected in a certain manner; prohibiting a DNA sample from being tested and placed in a certain statewide DNA database system until certain conditions are met; etc.,HB0259,Public Safety,"Chemical Tests|Correctional Institutions -see also- Patuxent Institution|Crimes and Punishments -see also- Penalties and Sentnc; etc.|District Courts|Expungement and Shielded Records|Fines -see also- Penalties and Sentences|Forensics|Genetics|Job Training -see also- Continuing Ed; Vocational Rehab|Judges|Laboratories|Notices|Penalties and Sentences -see also- Death Penalty|Registration -see also- Motor Vehicle Registration|Rules and Regulations|Safety -see also- Occupational Safety|Sexual Offenses|State Police, Department of|Time"
SB0203,Vehicle Laws - Exceptional Hauling Permits for Farm Products,Approved by the Governor - Chapter 52,Creating an exception for vehicles carrying fluid milk products to the prohibition against driving a vehicle subject to an exceptional hauling permit on the interstate highway system; altering certain weight limits and tolerances under an exceptional hauling permit; altering the preventive maintenance documents that an individual operating under an exceptional hauling permit must possess; and altering certain record-keeping requirements and the application of certain administrative penalties under an exceptional hauling permit.,HB0225,Vehicle Laws - Equipment and Inspections,Farmers and Farming -see also- Agriculture; Farmland|Highways|Interstate Affairs|Milk Products|Motor Vehicle Inspection|Motor Vehicle Operation|Penalties and Sentences -see also- Death Penalty|Permits -see also- Building Permits|Records -see also- Land Records; Vital Records|Reports|State Highway Administration|Storage|Transportation -see also- Aircraft; Airports; Boats; etc|Trucks|Weights and Measures
SB0204,Property Tax - Deadline to Set County and Municipal Corporation Tax Rates - Alteration,Returned Passed,"Altering, from July 1 to June 20, the deadline by which the governing body of a county or municipal corporation is required to set its property tax rate for the next taxable year.",HB0101,Taxes - Property,Counties -see also- Chartered Counties; Code Counties; etc.|Municipal Corporations -see also- Annap; Balt; Hager; OC|Property Tax
SB0205,Human Services - Adult Protective Services,Approved by the Governor - Chapter 38,"Specifying that certain provisions of law relating to confidentiality do not prohibit the disclosure of certain information relating to adult protective services or the disclosure of the identity of certain persons making certain reports under certain circumstances; expanding the definition of ""health practitioner"" to include certain emergency medical providers; and authorizing certain individuals who are required in specific instances to report information regarding alleged vulnerable adults to make a report.",HB0246,Elderly,Disclosure|Emergency Medical Services -see also- Ambul; RescSqd|Health Occupations -see also- (specific health occupations)|Investigations and Inquiries -see also- Crim Bckgrnd Invest|Law Enforcement -see also- SRO; Sheriffs; State Police|Notices|Privacy|Social Services -see also- Public Benefits|Vulnerable Adults -see also- DevDisab; EldPers; PhysDisab
SB0207,Drunk and Drug-Impaired Driving and Failure to Remain at the Scene - Revocation of Driver's License,Returned Passed,"Requiring the Motor Vehicle Administration to revoke the driver's license of a person who has been convicted of impaired driving that contributes to an accident, or fails to remain at the scene of an accident, that results in the death or life-threatening injury to another person; and authorizing a person whose driver's license is revoked under the Act or for homicide by motor vehicle while impaired to apply for license reinstatement after a certain period of time.",HB0070,Vehicle Laws - Licensing and Regulation,Accidents|Crimes and Punishments -see also- Penalties and Sentnc; etc.|Death -see also- Homicide; Murder; Wrongful Death|Drivers' Licenses|Drunk and Drugged Driving|Homicide -see also- Manslaughter; Murder|Injury|Motor Vehicle Administration|Motor Vehicle Equipment|Motor Vehicle Operation|Time
