YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2024 Regular Session,HB0902,Prekindergarten - Ulysses Currie Head Start Program - Eligibility for State Funds,Authorizing a provider in the Ulysses Currie Head Start Program to receive certain State funds under certain circumstances; and exempting providers in the Program from certain State requirements for eligible prekindergarten providers.,"The bill authorizes providers in the Ulysses Currie Head Start Program to receive full state funding even if they receive federal funds, and updates prekindergarten program standards to include evidence-based, culturally responsive practices, with specific provisions for Montessori programs. It also sets quality rating requirements and nondiscrimination policies for prekindergarten providers.",Maryland Department of Education,"Prekindergarten children, families, and providers participating in the Ulysses Currie Head Start Program and other prekindergarten programs in Maryland.","The bill's provisions for funding and quality standards aim to support prekindergarten providers, potentially reducing failure rates among small education providers by providing clearer standards and funding opportunities.",7.0
2024 Regular Session,HB0903,"Education - Access to Attorneys, Advocates, and Consultants for Special Education Program and Fund - Established","Requiring certain information to be provided to the parents of a child with a disability under certain circumstances; establishing the Access to Attorneys, Advocates, and Consultants for Special Education Program; establishing the Access to Attorneys, Advocates, and Consultants for Special Education Fund; requiring interest earnings of the Fund to be credited to the Fund; requiring the Governor to include in the annual budget bill an appropriation of $1,000,000 to the Fund beginning in fiscal year 2026; etc.","The bill establishes the Access to Attorneys, Advocates, and Consultants for Special Education Program and Fund in Maryland. It requires providing parents of children with disabilities with information about their rights, legal resources, and support services. The program aims to assist eligible students and their families in navigating special education disputes by offering legal and advocacy services funded through a dedicated state fund.",Maryland Volunteer Lawyers Service,"Parents and children with disabilities in Maryland, especially those involved in disputes over special education services.","The program is designed to provide legal and advocacy support for families, which can help prevent misunderstandings and legal issues that might lead to school-related disputes or failures, thereby indirectly reducing small business failure related to legal costs or disputes.",6.0
2024 Regular Session,HB0906,Garrett County – Sheriff’s Salary – Alteration,Altering the salary of the Sheriff of Garrett County; and repealing the requirement for the Garrett County Salary Study Commission to study and issue a report that contains recommendations relating to the salary of the Sheriff.,The bill changes the salary structure of the Sheriff of Garrett County to be 80% of the salary of the County's State's Attorney and repeals the requirement for a salary study commission to recommend sheriff's salary adjustments.,Garrett County Government and County Commissioners,Sheriff of Garrett County and residents of Garrett County,The bill does not directly impact small businesses or their failure rates.,1.0
2024 Regular Session,HB0907,Garrett County - Procurement - Bids and Contracts,"Increasing the minimum dollar amount of contracts for which the County Commissioners, or any employee of Garrett County, are required to advertise for bids from $25,000 to $50,000; exempting certain contracts for professional services from a requirement to advertise for bids; and authorizing contracts for professional services required to be licensed by the State to be solicited by written bids.","The bill increases the minimum contract amount requiring Garrett County to advertise for bids from $25,000 to $50,000, and clarifies procedures for soliciting bids, including exemptions for professional services and emergency repairs.",Garrett County Government and its County Commissioners,"Garrett County residents, local businesses, and contractors involved in county contracts","The bill may reduce small business failures by clarifying bidding procedures and increasing the contract threshold, potentially allowing more small businesses to compete for county contracts.",6.0
2024 Regular Session,HB0914,Winery and Vineyard Economic Development Grant Program - Modifications,Altering procedures for the claiming and awarding of grants under the Winery and Vineyard Economic Development Grant Program to allow an individual or corporation who paid or incurred qualified capital expenses during the immediately preceding calendar year to submit a grant application.,"The bill modifies procedures for claiming and awarding grants under the Winery and Vineyard Economic Development Grant Program, including application timing and grant distribution methods.",Maryland Department of Commerce,Wineries and vineyards in Maryland seeking economic development grants,"The program provides financial support to wineries and vineyards, which can help reduce the risk of business failure among small wine producers.",7.0
2024 Regular Session,HB0918,State Treasurer and Comptroller - Membership Responsibilities,Removing the State Treasurer from the Board of Trustees for the Maryland Agricultural Land Preservation Foundation and repealing related authority and duties; removing the State Treasurer or the State Treasurer's designee from the Maryland Commission on Climate Change and the Coast Smart Council; and adding the Comptroller or the Comptroller's designee as a member of the Maryland Commission on Climate Change and the Coast Smart Council.,"The bill modifies the membership responsibilities of the Maryland Agricultural Land Preservation Foundation, the Maryland Commission on Climate Change, the Maryland Environmental Service, and the Coast Smart Council by removing the State Treasurer from certain boards and commissions and adding the Comptroller or the Comptroller's designee.","The Maryland Department of Natural Resources, Maryland Environmental Service, and the Maryland Commission on Climate Change.","State agencies involved in environmental, agricultural, and climate change programs, as well as landowners and local governments involved in land preservation and climate initiatives.","The bill's focus on land preservation and climate change programs may indirectly support small businesses involved in agriculture and environmental services, but it does not explicitly target small business failure reduction.",3.0
2024 Regular Session,HB0920,"Washington County - Alcoholic Beverages - Multi-Use Sports and Events Facility Beer, Wine, and Liquor License","Altering the stadium beer and wine license in Washington County to be a multi-use sports and events facility beer, wine, and liquor license; authorizing the license holder to sell beer, wine, and liquor for on-premises consumption in the multi-use sports and events facility; etc.","The bill modifies the existing stadium beer and wine license in Washington County to a multi-use sports and events facility license, allowing the sale of beer, wine, and liquor for on-premises consumption at various events within the facility, and sets requirements for employee training and licensing.",Washington County Alcoholic Beverages Board,"Owners and operators of multi-use sports and events facilities in Washington County, event attendees, and local residents","The bill could support small business success by enabling sports and events venues to expand their beverage service offerings, potentially increasing revenue and customer satisfaction.",6.0
2024 Regular Session,HB0926,Maryland Building Performance Standards – Local Requests for Guidance – Religious Considerations,"Requiring the Maryland Department of Labor, on request of a local jurisdiction and in consultation with the Office of the Attorney General, to provide guidance for the implementation and enforcement of the Maryland Building Performance Standards in relation to any religious observance, practice, or belief.","The bill requires the Maryland Department of Labor to provide guidance to local jurisdictions on how to implement and enforce the Maryland Building Performance Standards in a way that respects religious observances, practices, or beliefs.",Maryland Department of Labor in consultation with the Office of the Attorney General,"Local jurisdictions, religious communities, and building officials in Maryland","The bill does not directly address small business failure rates, but providing guidance on religious considerations in building standards may help small businesses in the construction and related sectors better comply with regulations.",3.0
2024 Regular Session,HB0928,Washington County - Procurement - Vehicles,"Authorizing the County Commissioners of Washington County to enter into a certain contract for the purchase of one or more vehicles without advertising for bids if the amount involved in the contract does not exceed $100,000.","The bill authorizes Washington County to purchase vehicles without advertising for bids if the amount does not exceed $100,000.",Washington County Commissioners or their designated employees,"Washington County government and residents, especially those relying on county vehicles","The bill does not directly impact small business failure rates, as it pertains to county vehicle procurement procedures.",1.0
2024 Regular Session,HB0929,Agriculture – Nuisance Insects,"Requiring, instead of authorizing, the Secretary of Agriculture to implement, under certain circumstances, a program to use Bacillus thuringiensis israelensis to control or eliminate nuisance insects in the State; and requiring, instead of authorizing, the Secretary to carry out a certain project to control or eliminate nuisance insects if the county or municipality in which the nuisance insects are located agrees to pay 50% of the costs associated with the project.","The bill requires the Maryland Secretary of Agriculture to implement a program using Bacillus thuringiensis israelensis to control nuisance insects, specifically black flies, on state, local government, and private property with consent. It also mandates notification procedures and allows cost-sharing with counties and municipalities.",Maryland Secretary of Agriculture,"Residents, local governments, and property owners affected by nuisance insects such as black flies","The bill does not directly address small business failure rates, but by controlling nuisance insects, it may support local tourism and recreation industries, indirectly benefiting small businesses in those sectors.",3.0
2024 Regular Session,HB0932,Health Insurance - Utilization Review - Revisions,Altering and establishing requirements and prohibitions related to health insurance utilization review; altering requirements related to internal grievance procedures and adverse decision procedures; altering certain reporting requirements on health insurance carriers relating to adverse decisions; and establishing requirements on health insurance carriers and health care providers relating to the provision of patient benefit information.,"The bill updates Maryland's health insurance laws to improve utilization review processes, including establishing online systems for prior authorization, enhancing grievance procedures, and increasing transparency and accountability for health insurance carriers and providers.",Maryland Insurance Administration and Maryland Health Care Commission,"Health insurance carriers, healthcare providers, and insured individuals in Maryland","The bill's provisions for streamlined prior authorization and grievance processes aim to reduce administrative burdens on health care providers and insurers, potentially decreasing small business failure related to healthcare administration.",7.0
2024 Regular Session,HB0933,Behavioral Health Crisis Response Services - 9-8-8 Trust Fund Fees,"Establishing a 9-8-8 fee to be paid by each subscriber to switched local exchange access service, commercial mobile radio service, or other 9-8-8-accessible service; establishing a prepaid wireless 9-8-8 fee to be paid on certain retail transactions; requiring the Comptroller to deposit the 9-8-8 fees and the prepaid wireless 9-8-8 fees in the 9-8-8 Trust Fund; and requiring the Comptroller to adopt procedures for auditing fee collection and remittance by telephone companies and commercial mobile radio service providers.","The bill establishes a 9-8-8 Trust Fund funded by fees collected from subscribers of certain telecommunications services to support behavioral health crisis response services, including crisis call centers, mobile crisis teams, and stabilization centers in Maryland.",The Department of Health shall administer the 9-8-8 Trust Fund.,"Individuals in Maryland who use telecommunications services, especially those seeking behavioral health crisis services.","The program is unlikely to have a direct impact on reducing small business failure rates, as it primarily funds behavioral health crisis services.",2.0
2024 Regular Session,HB0934,State Board of Physicians - Performance of X-Ray Duties Without a License,"Altering the circumstances under which individuals without a license to practice medicine may perform X-ray duties; authorizing the State Board of Physicians to impose a civil penalty of up to $5,000 for each violation on the physician's office and $1,000 for each individual violation of the Act; and requiring the Board, by October 1, 2029, to report to certain committees of the General Assembly on the number of individuals registered to perform limited X-ray duties and the continuation or replacement of the registration process.","The bill establishes a licensing and regulatory system for limited licensed radiologic technologists in Maryland, allowing certain individuals to perform specific X-ray duties without a full medical license under supervision, and sets standards for licensure, practice, and discipline.",Maryland State Board of Physicians,"Individuals performing limited X-ray duties, medical offices, hospitals, and patients in Maryland","The program aims to regulate and standardize the practice of limited licensed radiologic technologists, which could reduce errors and liabilities, potentially decreasing small business failure related to malpractice or licensing issues.",7.0
2024 Regular Session,HB0938,"State–Owned Nursing Homes – Deficiencies, Citations, and Fines – Reporting Requirements","Requiring the department charged with oversight of a State-owned nursing home operated by a contractor, instead of the contractor, to provide notice of certain deficiencies and enforcement actions to the Governor and certain members of the General Assembly; requiring the department charged with oversight, rather than the contractor, to provide certain information to certain persons within 30 days after the contractor's final acceptance of a plan of correction or completion of an informal dispute resolution; etc.",The bill requires the department overseeing State-owned nursing homes operated by contractors to notify relevant authorities and stakeholders of deficiencies and enforcement actions within specified timeframes. It also mandates annual reporting on survey activities and enforcement actions at these nursing homes.,"The Maryland Department of Health, specifically the department charged with oversight of State-owned nursing homes.","State-owned nursing homes operated by contractors, the Maryland Department of Health, the Governor, the Maryland General Assembly, local government bodies, and residents of the nursing homes.","The bill aims to improve oversight and transparency, which can help identify issues early and reduce the likelihood of small business (contractors) facing severe penalties or failure due to unresolved deficiencies.",7.0
2024 Regular Session,HB0945,Education - Initial Teacher Certification - Requirements,Repealing a provision of law that requires a teacher preparation program to require a student to pass a certain assessment as a graduation requirement; altering the requirements for initial teacher certification; authorizing a local school system to establish a comprehensive induction program to aid in meeting a certain requirement for initial teacher certification; altering the qualification requirements for a teacher who holds a professional license or certificate from another state; etc.,"The bill updates Maryland's requirements for initial teacher certification, including removing certain assessment requirements, establishing new standards for literacy and subject-specific exams, and allowing local school systems to develop induction programs. It also authorizes the State Superintendent to pursue reciprocity agreements with other states to streamline certification for out-of-state teachers.",Maryland State Department of Education,"Prospective and current teachers in Maryland, local school systems, and students benefiting from qualified teachers.","The bill's focus is on teacher certification standards and reciprocity agreements, which are unlikely to have a direct impact on small business failure rates.",2.0
2024 Regular Session,HB0947,Civil Actions - Public Nuisances - Firearm Industry Members (Gun Industry Accountability Act of 2024),"Prohibiting firearm industry members from knowingly creating, maintaining, or contributing to a public nuisance through the sale, manufacture, distribution, importation, or marketing of a firearm-related product under certain circumstances; requiring a firearm industry member to establish and implement certain reasonable controls regarding the sale, manufacture, distribution, importation, marketing, possession, and use of certain firearm-related products; authorizing certain civil actions for violations of the Act; etc.","The bill establishes civil actions against firearm industry members for creating, maintaining, or contributing to public harm through the sale, manufacture, importation, or marketing of firearm-related products. It requires industry members to implement reasonable controls to prevent unlawful or harmful activities and defines penalties for violations, including civil damages and injunctive relief.","The Maryland Attorney General, county attorneys, and the Baltimore City Solicitor are responsible for implementing the programs and bringing civil actions.","Firearm industry members, the general public, and individuals affected by firearm-related harm in Maryland.","The bill's focus is on civil actions and public nuisance claims related to firearm industry practices, not directly on small business failure reduction.",1.0
2024 Regular Session,HB0950,Maryland Transit Administration - Locally Operated Transit Systems - Mandatory Funding,"Requiring, beginning in fiscal year 2026, the Governor to include in the annual budget bill an appropriation from the Transportation Trust Fund of $80,533,314 for the Locally Operated Transit System Grant Program.","The bill mandates that starting in fiscal year 2026, the Maryland Governor must include at least $80,533,314 annually in the state budget from the Transportation Trust Fund for the Locally Operated Transit System Grant Program, ensuring consistent funding for local transit systems.","Maryland State Government, specifically the Maryland Transit Administration and the Governor's Office",Local transit agencies and residents who rely on local transit services in Maryland,The bill primarily focuses on funding for transit systems and does not directly address small business failure rates.,1.0
2024 Regular Session,HB0953,Maryland Health Benefit Exchange - State-Based Young Adult Health Insurance Subsidies Pilot Program - Amount of Annual Subsidies,Altering the amount of funds the Maryland Health Benefit Exchange is authorized to designate for annual subsidies under the State-Based Young Adult Health Insurance Subsidies Pilot Program for certain fiscal years to include unspent funds designated for subsidies for young adults in a previous calendar year.,"The bill modifies the Maryland Health Benefit Exchange's Young Adult Health Insurance Subsidies Pilot Program by allowing the use of unspent funds from previous years to increase annual subsidies for young adults aged 18 to 40 with income between 133% and 400% of the federal poverty level, and establishes regulations for subsidy coverage.",Maryland Health Benefit Exchange,Young adults aged 18 to 40 with income between 133% and 400% of the federal poverty level in Maryland,"The bill does not directly address small business failure rates, focusing instead on health insurance subsidies for young adults.",1.0
2024 Regular Session,HB0959,Health Occupations - Certified Dialysis Technicians - Continuing Education Requirement,Altering the continuing education requirement for certified dialysis technicians to complete 3 hours of continuing education approved by the Board.,"The bill amends the continuing education requirements for certified dialysis technicians in Maryland, reducing the required hours of continuing education from 3 hours to 1.5 hours and clarifying renewal procedures.",Maryland Board of Nursing or relevant health occupations licensing board,Certified dialysis technicians and healthcare facilities that employ them,"The bill simplifies renewal requirements, which may reduce administrative burdens and costs for small healthcare providers employing dialysis technicians.",6.0
2024 Regular Session,HB0960,City of Frederick - Assignment of Offenders to Road Work - Repeal,"Repealing a provision of law requring a District Court judge to assign, if practicable, an offender to work the public roads of Frederick County or the City of Frederick as a penalty for a violation of a municipal law or ordinance of the City of Frederick.","This bill repeals the existing provisions that assign offenders who violate municipal laws or ordinances in Frederick to work on public roads, effectively ending the practice of court-ordered road work for such offenders in Frederick.","City of Frederick or Frederick County government, specifically the local judicial and law enforcement agencies.","Offenders convicted of violating municipal laws or ordinances in Frederick, and the local government agencies involved in law enforcement and judicial processes.","The bill does not directly impact small business failure rates, as it pertains to the assignment of offenders to work on public roads and does not involve small business support or economic development programs.",1.0
2024 Regular Session,HB0962,State Procurement - Small Business Reserve Program - Goals and Outreach Program,"Increasing a participation goal from a minimum of 15% to 20% for certain small businesses for certain procurement contracts; requiring the certification agency, in consultation with Governor's Office of Small, Minority, and Women Business Affairs to develop an outreach program to increase the participation of small businesses that are owned by economically disadvantaged individuals; requiring, by each December 1, the certification agency to submit a report on the outreach program and the dollar amount of certain awards; etc.","The bill modifies the Maryland Small and Minority Business Reserve Program by setting procurement goals for direct contracts to small businesses and certified minority business enterprises, establishing outreach and reporting requirements, and initiating a study to evaluate the program's compliance with federal and constitutional requirements.","The Maryland Office of Small, Minority, and Women Business Affairs in consultation with the Certification Agency and the Attorney General.","Small businesses, minority business enterprises, and economically disadvantaged individuals in Maryland.","The program aims to increase opportunities for small and minority businesses through targeted procurement goals, outreach, and support, which could help reduce their failure rates.",7.0
2024 Regular Session,HB0966,Law Enforcement Officers' Pension System - Reemployment as Sheriff,Requiring the Board of Trustees for the State Retirement and Pension System to suspend the retirement benefit of a retiree of the Law Enforcement Officers' Pension System who is elected as a sheriff within 1 year after retirement; providing for the reinstatement of a benefit; providing that a suspension of a benefit does not affect survivor benefits; and applying the Act prospectively.,"The bill requires the Board of Trustees for the Maryland Law Enforcement Officers’ Pension System to suspend the retirement benefits of retirees who are elected as sheriffs within one year of retirement, and to reinstate those benefits once the retiree ceases serving as a sheriff. It also clarifies procedures for reporting and reinstatement, and specifies survivor benefits if the retiree dies while serving as a sheriff.",Board of Trustees for the Maryland State Retirement and Pension System,"Retired law enforcement officers in Maryland who may become sheriffs, their families, and the pension system administrators.","The bill does not directly impact small business failure rates, as it primarily concerns pension benefits for retired law enforcement officers who become sheriffs.",1.0
2024 Regular Session,HB0967,Town of Keedysville - Parking of Vehicles - Restrictions,"Prohibiting a person from parking certain vehicles in the Town of Keedysville, Washington County.","The bill prohibits parking certain types of vehicles in the Town of Keedysville, Washington County, Maryland, with specific restrictions on street or highway parking unless the parking is essential for immediate use.","Town of Keedysville, Washington County government or local law enforcement agencies","Residents and visitors of Keedysville, vehicle owners of the specified vehicle classes, local businesses, and the town's municipal authorities","The bill does not directly impact small business failure rates, as it primarily addresses vehicle parking restrictions within a specific town.",1.0
2024 Regular Session,HB0969,Death Certificates - Cause or Manner of Death Determinations - Requirements After Change or Correction (Katherine Morris Death Reclassification Act),"Requiring, if a victim's initial determination of death recorded on the victim's death certificate was amended or corrected to be undetermined or homicide, an assistant State's Attorney with knowledge of the case to meet with a person in interest on the request of the person in interest for a certain purpose; requiring a law enforcement agency to reopen or reinvestigate an investigation involving the death of a victim whose cause or manner of death was amended or corrected to be undetermined or homicide; etc.","The bill establishes procedures for cases where a death certificate's cause or manner of death is amended to be undetermined or homicide, including requirements for meetings with interested parties, notifications to law enforcement, and reinvestigation of cases.","The Maryland Office of the State's Attorney, medical examiners, and law enforcement agencies are responsible for implementing the programs and procedures.","Victims' families, law enforcement agencies, medical examiners, and the general public concerned with death investigations.",The bill does not directly address small business failure; its focus is on death investigation procedures.,1.0
2024 Regular Session,HB0971,Washington County - Interscholastic Athletics - Student Eligibility Waiver and School Classification,"Authorizing the Washington County Board of Education to waive a certain eligibility requirement for participation in interscholastic athletics at a certain Maryland Public Secondary Schools Athletic Association member school for students who attend certain public high schools; requiring the Washington County Superintendent of Schools to report to the Maryland Public Secondary Schools Athletic Association the school enrollment of member schools in grades 9, 10, and 11 as of September 30 of each even-numbered year; etc.","The bill authorizes the Washington County Board of Education to waive certain eligibility requirements for students to participate in interscholastic athletics at public high schools, specifically for students attending non-zoned schools that lack athletic programs, and requires reporting on school enrollment for athletic classification purposes.",Washington County Board of Education and the Washington County Superintendent of Schools,"Public high school students in Washington County, especially those attending non-zoned schools without athletic programs",The bill does not directly impact small businesses or their failure rates.,0.0
2024 Regular Session,HB0973,Public Safety - Law Enforcement Agencies - Positive Community Feedback,Adding positive community feedback that was not solicited by the police officer who is the subject of the feedback to the list of records that are not considered personnel records; requiring the Maryland Police Training and Standards Commission to develop a process for citizens to submit positive community feedback; requiring each law enforcement agency to adopt the uniform citizen positive community feedback process; and requiring a law enforcement agency to maintain a certain record that is subject to public inspection.,"The bill requires law enforcement agencies in Maryland to develop and adopt a uniform process for collecting positive community feedback, which will be publicly accessible and maintained as part of officers' records. It also clarifies that positive community feedback records are not considered personnel records and are subject to public inspection.",Maryland Police Training and Standards Commission and law enforcement agencies in Maryland,"Law enforcement officers, Maryland residents, and community members providing feedback",The bill does not directly address small businesses or their failure rates.,0.0
2024 Regular Session,HB0975,"Somerset County – Fire, Rescue, and Emergency Medical Services","Authorizing the County Commissioners of Somerset County to enact local laws and adopt other measures to manage, direct, and regulate fire, rescue, and emergency medical services in the County; authorizing the County Commissioners to authorize or create an entity or a body to administer the County's affairs in the County relating to fire, rescue, and emergency medical services; and requiring the County Commissioners to establish an Emergency Services Advisory Council to make certain recommendations under certain circumstances.","The bill authorizes Somerset County to enact laws and measures to manage fire, rescue, and emergency medical services, including creating an entity to oversee these services and establishing an advisory council for recommendations.",Somerset County Commissioners and the Emergency Services Advisory Council,Residents and emergency service providers in Somerset County,"The bill does not directly address small business failure, but it may improve emergency services which can benefit local businesses indirectly.",2.0
2024 Regular Session,HB0976,Somerset County - Fire Companies - Appropriations,Requiring the County Commissioners of Somerset County to appropriate to certain organized volunteer fire companies in the county certain amounts for fiscal years 2025 through 2030; and requiring that the appropriations required for fiscal year 2030 remain in effect for subsequent fiscal years unless altered by a future enactment.,"The bill mandates that Somerset County allocate specific annual funds to organized volunteer fire companies, with the amounts remaining in effect for subsequent years unless changed by future legislation.",Somerset County Government (County Commissioners),Volunteer fire companies and residents of Somerset County,The bill does not directly impact small businesses or their failure rates.,0.0
2024 Regular Session,HB0977,Somerset County – Sale of Property – Revells Neck Road,"Authorizing the County Commissioners of Somerset County to sell the property at Map 32, Parcel 149 on Revells Neck Road under terms considered appropriate by the county commissioners.","The bill authorizes Somerset County to sell certain surplus properties, including property on Revells Neck Road, through various methods such as sealed bids, public auction, or direct sale to government units, under terms deemed appropriate by the county commissioners.",Somerset County Commissioners,"Residents and government entities in Somerset County, including potential buyers of surplus property and local community members affected by property sales.",The bill does not directly address small business support or failure reduction; it primarily concerns the sale of county surplus properties.,1.0
2024 Regular Session,HB0979,Agriculture - Invasive Plant Species - Regulation (Biodiversity and Agriculture Protection Act),"Altering the regulatory approach for controlling invasive plant species in the State, including repealing certain provisions of law relating to a two-tiered regulatory approach and requiring the Secretary of Agriculture to establish a list of prohibited invasive plants by regulation in a certain manner on or before October 1, 2024; establishing certain protocols for assessing certain nonnative plants and determining whether those plants are invasive or whether the plants may be placed on a certain watch list; etc.","The bill updates Maryland's regulations on invasive plant species by establishing a new regulatory framework, including creating a list of prohibited invasive plants, protocols for assessing nonnative plants, and procedures for classification, disposal, and sale restrictions.",Maryland Department of Agriculture and the Invasive Plants Advisory Committee,"Nurseries, plant dealers, landscapers, environmental agencies, and the general public in Maryland","The bill includes provisions to phase in regulations considering economic impacts on nurseries and landscapers, aiming to support small businesses while managing invasive species.",6.0
2024 Regular Session,HB0980,Public Health - Opioid Restitution Advisory Council and Fund - Revisions,"Requiring the Secretary of Health to present decisions for the allocations of money from the Opioid Restitution Fund to the Opioid Restitution Fund Advisory Council; requiring the Maryland Department of Health to post on the Department's website certain information regarding allocations of money from the Fund; and requiring the Department to report to certain committees of the General Assembly by December 1, 2024, on the best process for making the expenditures of all opioid settlement agreements accessible to the public.","The bill revises the administration and reporting requirements for Maryland's Opioid Restitution Fund, including how decisions on fund allocations are made and communicated, and mandates annual reporting by political subdivisions on fund expenditures.",The Maryland Department of Health and the Opioid Restitution Fund Advisory Council.,"Individuals with substance use disorders, community-based recovery organizations, and residents of jurisdictions receiving funds from the Opioid Restitution Fund.","The bill does not directly address small business failure rates, but it supports community organizations and public health programs that may indirectly benefit local economies.",2.0
2024 Regular Session,HB0981,Principal Departments - Individuals With Limited English Proficiency - Access to Public Services,"Requiring, on or before July 1, 2025, the principal departments of the Executive Branch to fully implement certain provisions of law requiring equal access to public services for individuals with limited English proficiency.","The bill mandates that all principal departments of the Maryland Executive Branch fully implement laws ensuring equal access to public services for individuals with limited English proficiency by July 1, 2025.",Maryland Department of Disabilities and other principal departments of the Maryland Executive Branch,Individuals with limited English proficiency in Maryland,The bill primarily focuses on public service access and does not directly address small business failure rates.,1.0
2024 Regular Session,HB0983,State Personnel - Maryland Department of Health - Pay Rates,Increasing the number of certain bargaining units for the purpose of specifying certain pay rates for certain employees of the Maryland Department of Health; and requiring that the pay rates of certain Department employees who are in certain bargaining units and who work at certain facilities be equal to certain pay rates of the employees who work at Clifton T. Perkins Hospital.,"The bill increases pay rates for certain Maryland Department of Health employees, especially those working at the Regional Institutes for Children and Adolescents, by aligning their pay with higher rates at Clifton T. Perkins Hospital, and establishes pay grade adjustments for employees in specific bargaining units.",Maryland Department of Health,"Employees of the Maryland Department of Health working at Regional Institutes for Children and Adolescents and Clifton T. Perkins Hospital, and the patients they serve.",The bill primarily affects government employees and does not have a direct impact on small business failure rates.,1.0
2024 Regular Session,HB0986,Maryland Medical Assistance Program - Coverage for the Treatment of Obesity - Required Study,"Requiring the Maryland Department of Health to study the impact of requiring the Maryland Medical Assistance Program to provide comprehensive coverage for the treatment of obesity, including coverage for intensive behavioral therapy, bariatric surgery, and FDA-approved antiobesity medication; and requiring the Department to report its findings and recommendations to certain committees of the General Assembly on or before December 31, 2024.","The bill requires the Maryland Department of Health to study the impact of mandating comprehensive coverage for obesity treatment under the Maryland Medical Assistance Program, including therapies like behavioral therapy, bariatric surgery, and FDA-approved medications, and to report findings by December 31, 2024.",Maryland Department of Health,Medicaid recipients and individuals with obesity in Maryland,"The bill does not directly address small business failure rates, but by potentially reducing healthcare costs and improving health outcomes, it may indirectly support economic stability.",3.0
2024 Regular Session,HB0989,Montgomery County – Subdivision Plats – Conditions PG/MC 111–24,Providing that the Montgomery County Planning Board may tentatively approve a subdivision plat subject to specified conditions; and providing for the approval and submission of a certain subdivision plat to the county land records.,"The bill allows the Montgomery County Planning Board to tentatively approve subdivision plats with conditions before improvements are completed, and specifies that approval is contingent on completing those conditions before final approval and recording.",Montgomery County Planning Board,Developers and residents involved in subdivision development in Montgomery County,"By streamlining the subdivision approval process with conditional tentative approvals, the bill may reduce delays and costs for small developers, potentially lowering their failure rate.",7.0
2024 Regular Session,HB0990,Environment - Greenhouse Gas Emissions Reductions - Manufacturers,"Altering the definition of ""manufacturing"" for purposes of certain greenhouse gas emissions reduction requirements to exclude the production of cement; altering the application of certain provisions of law regarding the reduction of greenhouse gas emissions from the manufacturing sector to apply only to persons that engaged in manufacturing in 2023; requiring the Department of the Environment to make certain considerations and consult with certain stakeholders related to the regulation of the production of cement; etc.",The bill modifies Maryland's greenhouse gas emissions reduction laws by excluding cement production from the definition of manufacturing and adjusting regulations to only apply to manufacturers active in 2023. It also requires the Department of the Environment to consider specific factors and consult stakeholders when regulating cement production.,Department of the Environment,"Manufacturers, especially cement producers, and stakeholders involved in greenhouse gas emissions reduction efforts.","The bill aims to limit regulatory costs on manufacturers, including cement producers, which could help reduce the risk of small business failure by preventing excessive compliance costs.",7.0
2024 Regular Session,HB0991,Agriculture - Food Processing Residuals Utilization Permit - Establishment,Establishing a food processing residuals utilization permit; prohibiting a person from utilizing food processing residuals in the State unless the person obtains a permit; requiring the Department of Agriculture to provide a certain notice and information to certain persons in a county where food processing residuals will be stored; establishing the Food Processing Residuals Administration Fund; authorizing a representative of the Department to enter and inspect any site where food processing residuals are utilized; etc.,"The bill establishes a permit system for the utilization of food processing residuals, including industrial sludge, in agricultural operations in Maryland. It sets regulations for permits, site inspections, record-keeping, and safety standards, and creates a Food Processing Residuals Administration Fund to support these activities.",Maryland Department of Agriculture,"Farmers, food processing companies, commercial haulers, and local communities in Maryland","The bill provides a structured regulatory framework and permits for food processing residuals utilization, which can help small businesses in agriculture and food processing to operate legally and safely, potentially reducing failure rates.",7.0
2024 Regular Session,HB0992,Environment - Delegated Authorities - Well and Septic Program Permits,"Requiring a local health department or county government to which the Department of the Environment has delegated authority to administer a septic and well program to submit, by December 1, 2024, a schedule of review times for certain well and septic program permits for approval; and requiring a local health department or county government to submit well and septic program permit data to the Department for review beginning 3 months after the original schedule submission approved by the Department and every 3 months thereafter.","The bill requires local health departments or county governments with delegated authority to submit a schedule of review times for well and septic permits to the Maryland Department of the Environment by December 1, 2024, and to regularly submit permit data every three months thereafter.",Maryland Department of the Environment and local health departments or county governments with delegated authority,"Local health departments, county governments, residents and businesses involved in well and septic system installation and maintenance","The bill aims to streamline permit review processes and improve data sharing, which could help small businesses involved in well and septic system services operate more efficiently and reduce failure rates.",6.0
2024 Regular Session,HB0995,Washington County Board of Education - Members - Residency Requirement,Requiring that a member of the Washington County Board of Education be a resident of Washington County for at least 6 months and the State for at least 12 months immediately preceding the date the member takes office; and requiring members of the county board to maintain a primary residence in Washington County during their term.,"The bill requires members of the Washington County Board of Education to be residents of Washington County and the State for specified periods before taking office, and mandates that they maintain a primary residence in Washington County during their term.",Washington County Board of Education and the Maryland State Board of Education,"Residents of Washington County, including students, parents, educators, and local community members",The bill does not directly address small business failure; it focuses on education board residency requirements.,1.0
