YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,access_to_capital_summary,access_to_capital_score
2024 Regular Session,HB0786,Health Occupations – Limited License to Practice Dentistry – Services for Adults,Authorizing the State Board of Dental Examiners to waive certain education requirements for certain applicants for a limited license to practice dentistry who provide dental services for adults.,"The bill authorizes the Maryland State Board of Dental Examiners to waive certain education requirements for applicants seeking a limited license to practice dentistry, specifically for those providing dental services to adults in public health settings, and establishes criteria for such waivers and licenses.",True,2024,0,0.0,Maryland State Board of Dental Examiners,"Dental professionals providing services to adults in public health settings, public health clinics, federally qualified health centers, and Maryland qualified health centers","The bill's focus is on licensing and practice requirements for dental professionals, not on access to capital for small businesses.",1.0
2024 Regular Session,HB0787,Allegany County - Allegany Regional Recreational Economic Development Authority - Established,"Establishing the Allegany Regional Recreational Economic Development Authority in Allegany County to support the development and construction of regional recreation facilities to benefit residents and the economic development of Allegany County, including athletic fields, indoor athletic facilities, and other facilities for recreational tourism; and requiring the Authority to annually report its activities to the Governor and certain committees of the General Assembly beginning October 31, 2025.",The bill establishes the Allegany Regional Recreational Economic Development Authority in Allegany County to support the development of regional recreation facilities such as athletic fields and indoor athletic facilities to benefit residents and promote economic development.,True,2024,2029,0.0,Allegany Regional Recreational Economic Development Authority,"Residents of Allegany County, local governments, and regional recreational users","The program aims to develop recreational facilities which could enhance local economic activity and tourism, potentially improving access to capital for related small businesses.",6.0
2024 Regular Session,HB0796,Carroll County - Public Facilities Bond,"Authorizing and empowering the County Commissioners of Carroll County to borrow not more than $29,800,000 in order to finance the construction, improvement, or development of certain public facilities in Carroll County, and to effect such borrowing by the issuance and sale at public or private sale of its general obligation bonds; etc.
","The bill authorizes Carroll County to issue up to $29,800,000 in bonds to finance public facilities, water and sewer projects, and volunteer fire department facilities, including the ability to make loans to fire departments and acquire land easements. It details the procedures for issuing, selling, and managing these bonds and related obligations.",True,2024,2024,29800000.0,Carroll County Commissioners,"Residents of Carroll County, volunteer fire departments, public facility users, landowners with agricultural or woodland easements","The program has a high potential to impact small business owners' access to capital by funding public infrastructure and emergency services, which can support local economic activity.",8.0
2024 Regular Session,HB0801,Criminal Procedure - Committed Persons - Release Proceedings,Providing that certain provisions of the Maryland Rules relating to discovery in civil matters apply in a certain administrative proceeding; requiring a court that receives a certain report to promptly notify counsel of record for the committed person; requiring the Maryland Department of Health to notify the court and certain persons if the Department receives a certain report; requiring a court to hold a hearing on request by any party after a certain application is made; etc.,"The bill updates procedures for release and conditional release of committed persons, including notification requirements, application processes, and court procedures, and clarifies discovery rules in these proceedings.",False,2024,2024,0.0,Maryland Department of Health and courts involved in criminal procedure and release hearings,"Committed persons undergoing release or conditional release proceedings, their legal representatives, and the Maryland Department of Health",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0805,Cannabis - Licensee Locations - Restrictions,"Altering the distance restrictions from 2000 feet to one-half mile applicable to a licensed cannabis dispensary; prohibiting a political subdivision from establishing certain zoning requirements that are more restrictive than certain zoning requirements that existed on June 30, 2023; authorizing at least 10 individuals who are residents, commercial tenants who are not holders of or applicants for a license, or real estate owners, and are located within 1,000 of the licensed premises to file a protest against a license; etc.","The bill modifies zoning restrictions and distance requirements for licensed cannabis dispensaries and growers in Maryland. It limits local governments' ability to impose more restrictive zoning rules, clarifies procedures for protesting license renewals, and establishes standards for such protests.",True,2024,2034,0.0,Maryland Cannabis Administration,"Cannabis licensees, local governments, residents near dispensaries, social equity licensees, and the general public","The bill's restrictions on local zoning and licensing processes could influence the operational environment for cannabis businesses, potentially affecting their access to capital.",6.0
2024 Regular Session,HB0806,Physician Assistants - Revisions (Physician Assistant Modernization Act of 2024),"Requiring that a physician assistant have a collaboration agreement, rather than a delegation agreement, in order to practice as a physician assistant; altering the scope of practice of a physician assistant; altering the education required for licensure as a physician assistant; authorizing physician assistants who are employees of the federal government to perform acts, tasks, or functions during a certain disaster; and requiring the State Board to review and update the list of duties for physician assistants.","The bill modernizes the practice of physician assistants in Maryland by replacing delegation agreements with collaboration agreements, expanding their scope of practice, updating education and certification requirements, and establishing new rules for prescriptive authority and advanced duties, including during disasters.",True,2024,2034,0.0,Maryland State Board of Physicians,"Physician assistants, healthcare providers, patients in Maryland","The bill's focus on expanding scope of practice and prescriptive authority for physician assistants could improve healthcare access, potentially increasing small healthcare providers' ability to generate revenue and access resources.",7.0
2024 Regular Session,HB0807,Natural Resources – Submerged Aquatic Vegetation Surveys,"Altering the definition of ""aerial survey"" for purposes of surveying submerged aquatic vegetation to include other surveys that encompass certain geographic areas and use certain methodologies; and requiring the Department of Natural Resources to study and report to the General Assembly on the implications and feasibility of using alternative methods other than an aerial survey to delineate SAV protection zones on or before December 1, 2025.","The bill updates the definition of 'aerial survey' for submerged aquatic vegetation (SAV) to include other survey methods, requires the Department of Natural Resources to study and report on alternative methods for delineating SAV protection zones, and makes adjustments to SAV zone delineation procedures and protections.",True,2024,2025,0.0,Department of Natural Resources,"Environmental agencies, aquatic vegetation, marine ecosystems, local communities near Chesapeake Bay and Atlantic Coastal Bays",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0808,Alcoholic Beverages – Retail Delivery – Local Delivery Service Permit,"Establishing a local delivery service permit that authorizes the holder to deliver alcoholic beverages from a retail license holder that is authorized to deliver alcoholic beverages to purchasers in a certain jurisdiction under certain circumstances; authorizing retail license holders to deliver alcoholic beverages to purchasers in a certain jurisdiction through a third-party contractor, an independent contractor, or an agent that holds a certain delivery service permit under certain circumstances; etc.","The bill establishes a local delivery service permit allowing retail license holders to deliver alcoholic beverages through third-party or independent contractors, with specific regulations, fees, and restrictions.",True,2024,0,1000.0,Maryland local licensing boards,"Retail license holders, third-party delivery contractors, consumers of legal drinking age in Maryland","The program could improve access to capital for small retail businesses by enabling delivery services, but the impact is indirect.",4.0
2024 Regular Session,HB0809,"Members of Boards, Committees, Commissions, Task Forces, or Workgroups – Removal or Suspension","Providing that a member of a board, committee, commission, task force, or workgroup created by State law may be removed or suspended for misconduct, incompetence, neglect of duties, or other good cause by the individual or entity that appointed the member under certain circumstances; authorizing the removal or suspension of an appointed member only after consultation with the chair of the board, committee, commission, task force, or workgroup and the member has been given an opportunity to be heard regarding the removal or suspension; etc.","This bill establishes procedures for the removal or suspension of members of boards, committees, commissions, task forces, or workgroups created by Maryland state law, including requirements for notice, hearing, and consultation.",False,2024,0,0.0,Maryland State Government,"Members of boards, committees, commissions, task forces, and workgroups created by Maryland law",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0810,Criminal Law - Rapid-Fire Activator - Switch/Auto-Sear,"Altering the term ""rapid fire trigger activator"" to be ""rapid fire activator""; adding ""switch/auto-sear"" to the definition of ""rapid fire activator"" for purposes of certain prohibitions on rapid fire activators; and prohibiting a person from transporting a rapid fire activator into the State or manufacturing, possessing, selling, offering for sale, transferring, purchasing, or receiving a rapid fire activator with a certain exception.","The bill prohibits the manufacturing, possession, sale, transfer, or importation of switch/auto-sears and rapid fire activators in Maryland. It establishes penalties for violations, including severe mandatory minimum sentences for using certain prohibited weapons in crimes.",False,2024,2024,0.0,Maryland State Police or law enforcement agencies,Individuals and law enforcement involved in firearm regulation and crime prevention in Maryland,The bill does not directly impact access to capital for small businesses.,1.0
2024 Regular Session,HB0811,Higher Education - Financial Well-Being Pilot Program - Establishment,"Establishing the Financial Well-Being Pilot Program at the University of Maryland, College Park Campus and Morgan State University to provide comprehensive financial guidance and coaching to help students who may benefit from financial coaching services; requiring by August 1, 2024, each participating institution to hire one full-time financial well-being coach; requiring each financial well-being coach to create a document with best practices and guidance for other institutions to use to create a financial well-being program; etc.","The bill establishes a Financial Well-Being Pilot Program at the University of Maryland, College Park, and Morgan State University to provide financial guidance, support, and coaching to students who may benefit from such services, focusing on students with financial burdens, high anxiety, or low financial literacy.",True,2024,2027,0.0,Maryland Higher Education Commission,"College students at the University of Maryland, College Park, and Morgan State University","The program aims to improve students' financial literacy and management skills, which could enhance their ability to access capital by making informed financial decisions.",7.0
2024 Regular Session,HB0812,Tri–County Council for Southern Maryland – Southern Maryland Agricultural Development Commission – Funding,"Increasing from $900,000 to $1,000,000 the amount of an appropriation that the Governor is required to include in the annual budget bill each year for the Tri-County Council for Southern Maryland from the Cigarette Restitution Fund; repealing the termination of certain provisions of law that require the Governor to include the appropriation in the annual budget bill each year and the Council to use the appropriation to fund the activities of the Southern Maryland Agricultural Development Commission; etc.","The bill increases the annual funding allocated to the Tri–County Council for Southern Maryland from $900,000 to $1,000,000, and allows for an additional appropriation of up to 5% of the funds allocated to the state under the Master Settlement Agreement from the Cigarette Restitution Fund. The funds are designated to support the Southern Maryland Agricultural Development Commission.",True,2024,2025,1000000.0,"Maryland State Government, specifically the Department of Economic Development and the Tri–County Council for Southern Maryland",Southern Maryland agricultural community and related stakeholders,The bill's funding increases and specific allocations for agricultural development could improve access to capital for small agricultural businesses in Southern Maryland.,7.0
2024 Regular Session,HB0814,Juvenile Law - Reform,"Altering the jurisdiction of the juvenile court over a child of a certain age alleged to have committed a certain offense; altering certain provisions relating to the taking of a child into custody by a law enforcement officer; expanding certain provisions of law relating to the entry onto certain school or other property by, and the education of, certain sex offender registrants; altering certain provisions relating to the Commission on Juvenile Justice Reform and Emerging and Best Practices; etc.","This bill reforms juvenile law in Maryland by expanding jurisdiction, establishing new agencies and programs, and enhancing oversight and reporting related to juvenile justice and services.",True,2024,2027,0.0,Maryland Department of Juvenile Services and related agencies,"juvenile offenders, children in the juvenile justice system, families, schools, and community organizations",The bill's programs and reforms have a high potential to impact access to capital for small businesses and community organizations involved in juvenile services.,8.0
2024 Regular Session,HB0817,Prince George's County - Alcoholic Beverages - Issuance of License Near a Place of Worship or School PG 307-24,"Authorizing the Board of License Commissioners for Prince George's County to issue an alcoholic beverages license for an establishment that is within 500 feet of a place of worship or 1,000 feet of a school building if a license of the same class had been issued and was held by the same person seeking the new license and was in effect for the establishment before the place of worship or school building was built.","The bill allows the Board of License Commissioners for Prince George's County to issue alcohol licenses to establishments that are within certain distances of places of worship or schools, provided the same license was held before the construction of the place of worship or school.",False,2024,2024,0.0,Board of License Commissioners for Prince George's County,"Establishments seeking alcohol licenses, places of worship, schools, and the local community in Prince George's County","The bill potentially increases access to alcohol licenses for certain establishments near places of worship or schools, which could impact their ability to generate revenue.",4.0
2024 Regular Session,HB0819,State Finance – Catastrophic Event Account and Federal Government Shutdown Employee Assistance Loan Fund – Noncivilian Federal Employees,Altering the purposes of the Catastrophic Event Account and the Federal Government Shutdown Employee Assistance Loan Fund to provide financial assistance to noncivilian federal employees.,"The bill establishes the Catastrophic Event Account and the Federal Government Shutdown Employee Assistance Loan Fund to provide financial assistance and loans to noncivilian federal employees affected by federal government shutdowns, and makes related amendments to the State Finance and Procurement laws.",True,2024,0,0.0,Maryland Department of Labor,Noncivilian federal employees in Maryland affected by government shutdowns,The program has a high potential to directly impact small business owners and federal employees by providing financial assistance and loans during shutdowns.,8.0
2024 Regular Session,HB0821,Prince George's County - Student Support - Specialist Networks and Success Action Plans (Student Supports and Success Act) PG 502-24,"Establishing a Student Support Specialist Network consisting of certain school-based personnel at each public high school in Prince George's County; requiring the Prince George's County Board of Education to develop a certain template using certain guidelines by December 31, 2024; and requiring each Student Support Specialist Network in the county to develop, complete, and implement a certain plan, subject to review and approval by the Prince George's County Board of Education.","The bill establishes Student Support Specialist Networks in each public high school in Prince George's County, requiring the development and implementation of Student Support Success Action Plans to improve behavioral, mental health, and disciplinary outcomes.",True,2024,2025,0.0,Prince George’s County Board of Education,"Students, school staff, and community members in Prince George’s County","The program aims to improve access to behavioral and mental health supports, which could enhance the ability of small business owners in related health sectors to access capital.",7.0
2024 Regular Session,HB0822,Maryland Medical Assistance Program - Employed Individuals With Disabilities,Requiring the Maryland Department of Health to provide Maryland Medical Assistance Program services for qualified applicants who are at least 16 years old and for existing Program recipients under the Employed Individuals with Disabilities Program in accordance with certain requirements; prohibiting the Department from limiting eligibility to receive services under the EID Program based on certain criteria; etc.,"The bill modifies the Maryland Medical Assistance Program to expand services for individuals with disabilities, specifically through the Employed Individuals with Disabilities (EID) Program. It removes certain eligibility restrictions, clarifies program rules, and requires the Department of Health to report on the program's impact.",True,2024,2024,0.0,Maryland Department of Health,Individuals with disabilities seeking employment and Medicaid services in Maryland,"The bill's focus is on healthcare services and eligibility rules, not directly on access to capital for small businesses.",1.0
2024 Regular Session,HB0823,Fire Protection and Prevention - Residential Rental Property - Requirements (Melanie Nicholle Diaz Fire Safety Act),"Establishing certain requirements relating to the installation of certain fire safety equipment in residential rental high-rise buildings and certain other property; authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a certain property tax credit; establishing the Workgroup to Develop Fire Safety Best Practices for Pre-1974 High-Rise Apartment Buildings; requiring the Workgroup to report its findings and recommendations by December 31, 2024; etc.","The bill establishes fire safety requirements for high-rise residential buildings, including installation of smoke alarms, notification appliances, and emergency lighting, as well as provisions for automatic sprinkler systems and related funding sources. It also creates a workgroup to develop best practices for fire safety in pre-1974 high-rise buildings and offers property tax credits for fire safety improvements.",True,2024,2025,0.0,Department of Housing and Community Development in coordination with the State Fire Marshal,"Residents of high-rise residential buildings, building owners, fire safety agencies, and local governments in Maryland","The bill includes provisions for funding sources and tax credits to support fire safety improvements, which could facilitate access to capital for building owners.",7.0
2024 Regular Session,HB0825,Libraries - Regional Resource Centers - Governing Board Membership,"Increasing, from one member to two members, the number of public members from each area served by the participating library systems on the governing board for each regional resource center.",The bill increases the number of public members on the governing boards of regional resource centers for libraries from one to two members.,False,2024,0,0.0,Maryland State Department of Education or local library systems,Public library users and community members served by regional resource centers in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0827,Maryland Insurance Administration – Professional Employer Organizations – Study,"Requiring the Maryland Insurance Administration to study professional employer organizations in the State to review certain regulations, histories, health plans, requirements, and regulatory structures in other states and to address any potential impacts of proposed statutory changes in the State relating to the offering of health coverage by professional employer organizations on the small group market in the State; and requiring the Administration to report to certain committees of the General Assembly by December 31, 2024.","The bill requires the Maryland Insurance Administration to study professional employer organizations (PEOs) in Maryland, including their regulation, history, health plans, and impact on the small group health insurance market, and to report findings by December 31, 2024.",False,2024,2024,0.0,Maryland Insurance Administration,"Professional employer organizations, small employers, employees, health insurance market in Maryland",The bill does not directly establish a program that impacts access to capital for small business owners.,1.0
2024 Regular Session,HB0832,General Provisions - Damages or Losses - Definition,"Defining ""damages"" or ""losses"" in statutory causes of action to protect civil rights or consumer rights and providing that ""damages"" or ""losses"" includes reasonable nominal damages.","The bill defines 'damages' or 'losses' in Maryland law to include reasonable nominal damages in civil rights and consumer rights cases, ensuring these damages are recognized as a form of redress.",False,2024,2024,0.0,Maryland General Assembly,Individuals seeking civil rights or consumer protections in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0833,Parents in Substance Use Disorder Treatment - Children in Need of Assistance and Treatment Facilities,"Establishing a presumption that placement with a child's parent is in the best interest of the child, the child is receiving proper care and attention, and there is not a certain emergency situation if the child's parent is receiving certain substance use disorder treatment and the child is in the presence of the child's parent for the duration of the child's parent's treatment; authorizing the Behavioral Health Administration to require a facility providing certain treatment to provide beds and services to the patient's children; etc.","The bill establishes a presumption that placement with a parent receiving substance use disorder treatment is in the child's best interest, and requires treatment facilities to provide beds and services for patients' children, allowing children to be present with their parents during treatment.",True,2024,0,0.0,Behavioral Health Administration and Department of Human Services,"Children in need of assistance, parents receiving substance use disorder treatment, treatment facilities, and social services agencies","The bill promotes the development of treatment programs that include provisions for children, potentially increasing access to resources for such programs.",7.0
2024 Regular Session,HB0834,Calvert County - Ethics - Conflict of Interest and Commissioner Expulsion,Requiring that the conflict of interest provisions enacted by Calvert County include certain provisions relating to judicial relief for certain violations of the county's conflict of interest provisions; requiring the ethics provisions enacted by Calvert County to include a provision requiring the Calvert County Ethics Commission to make public any recommendation it makes to expel a Commissioner; and requiring Calvert County to enact a law or regulation that authorizes the removal of a county elected official for certain violations.,"The bill requires Calvert County to include specific conflict of interest provisions, including judicial relief and public disclosure of expulsion recommendations, in its ethics laws. It also mandates the county to enact laws allowing the removal of elected officials for conflict of interest violations.",True,2024,9999,0.0,Calvert County government,Calvert County elected officials and residents,"The bill primarily focuses on conflict of interest and expulsion procedures, with no direct impact on access to capital for small businesses.",1.0
2024 Regular Session,HB0835,Calvert County - Procurement - Local Preference,Authorizing the County Commissioners of Calvert County to enact an ordinance that establishes a local percentage preference for certain procurement contracts; and requiring the County Commissioners to comply with certain provisions of law under certain circumstances.,"The bill authorizes Calvert County to enact an ordinance that provides a percentage preference for resident businesses in certain procurement contracts, allowing them to be awarded contracts even if their bid exceeds the lowest bid by a specified percentage.",True,2024,0,0.0,Calvert County County Commissioners,Local resident and nonresident businesses in Calvert County,"The program could potentially improve access to government contracts for resident businesses, which may enhance their revenue and ability to access capital.",6.0
2024 Regular Session,HB0838,Prince George's County Family Child Care Home Expansion Grant Program - Establishment PG 505-24,"Establishing the Prince George's County Family Child Care Home Expansion Grant Program in the Prince George's County public school system; providing that the purpose of the Program is to increase the number of registered family child care providers, registered family child care homes, and registered large family child care homes in low-income communities in the county; requiring a local school system to develop a certain application process; etc.",The bill establishes the Prince George's County Family Child Care Home Expansion Grant Program to increase the number of registered family child care providers and homes in low-income communities within Prince George's County. It authorizes funding and specifies the administration and eligibility criteria for grants to nonprofit organizations to support training and assistance for prospective child care providers.,True,2024,2024,500000.0,Division of Early Childhood Development in the Prince George's County public school system,"Low-income communities in Prince George's County, prospective family child care providers, children in need of child care services","The program provides direct financial assistance and support services to new child care providers, which can significantly improve their ability to access capital for establishing or expanding child care homes.",8.0
2024 Regular Session,HB0839,Carroll County - Contracts and Purchasing,"Increasing from $25,000 to $50,000 the cost of a public work or improvement or the purchase price of supplies or equipment for which the County Commissioners of Carroll County may enter into a contract; and requiring that when the cost of a public work or improvement or the purchase price of supplies or equipment in Carroll County exceeds $50,000 under certain conditions, the Procurement Officer for the County Commissioner shall advertise for bids for at least 1 week in a media accessible to the general public.","The bill increases the contract and purchase price threshold in Carroll County from $25,000 to $50,000, and modifies procedures for public notice and bidding for contracts exceeding this amount.",False,2024,2024,0.0,Carroll County Procurement Officer or County Commissioners,"Carroll County government, local vendors, and residents of Carroll County",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0840,Vehicle Laws - Annual Vehicle Shows - Motor and Trailer Homes,"Altering the number of annual vehicle shows in which motor and trailer home dealers, and salesmen employed by dealers, may participate.","The bill amends vehicle laws to increase the number of annual vehicle shows that motor and trailer home dealers and salesmen employed by them can participate in, removing previous restrictions.",False,2024,2024,0.0,Maryland Department of Transportation,"Motor and trailer home dealers, salesmen, and related vehicle industry stakeholders in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0845,Income Tax - Individual Income Tax Credit Eligibility Awareness Campaign,"Requiring the Comptroller to implement and administer a certain individual income tax credit eligibility awareness campaign to identify and encourage individuals to apply for certain individual income tax credits; authorizing the Comptroller to enter into a certain data sharing agreement with other State agencies to carry out the awareness campaign; and requiring, in each of fiscal years 2026 through 2030, the Governor to include in the annual budget bill an appropriation of $300,000 for the awareness campaign.","The bill requires the Maryland Comptroller to implement an awareness campaign to inform underserved individuals about their eligibility for certain income tax credits and encourage them to apply, with funding allocated annually from 2026 to 2030.",True,2024,2030,1800000.0,Maryland Comptroller's Office,Underserved individuals eligible for income tax credits in Maryland,The program has a high potential to improve access to capital by increasing awareness and claiming of tax credits among eligible individuals.,8.0
2024 Regular Session,HB0846,State Investment Portfolio and Local Government Investment Guidelines - Investment Standards,Requiring the Treasurer to consult with governmental entities prior to proposing certain regulations; repealing the limitations on investment in certain assets in which the Treasurer may invest or reinvest certain unexpended or surplus funds; authorizing the Treasurer to retain investments made prior to the effective date of the Act until the investments have reached their respective maturity dates; authorizing the Treasurer and governmental entities to invest or reinvest in certain surplus funds under certain circumstances.,"The bill updates Maryland's investment standards for the state's and local governments' public funds, including repealing previous investment limitations, requiring the Treasurer to adopt new regulations, and establishing guidelines for investment types and thresholds.",False,2024,0,0.0,Maryland State Treasurer's Office,Maryland state and local government entities managing public funds,"The bill primarily focuses on investment standards and regulations, not directly on access to capital for small businesses.",1.0
2024 Regular Session,HB0850,State Procurement - Small Business Preference Procurement,Requiring each procurement unit to establish a price preference for small businesses; and designating the Board of Public Works as the regulatory authority for the Small Business Preference Program.,"The bill requires Maryland state procurement units to establish a small business price preference program, including criteria for small business qualification, procedures for outreach and bidding, and a percentage preference for small businesses, veteran-owned, and disabled veteran–owned small businesses. It also sets a goal for at least 15% of procurement to be made directly to small businesses.",True,2024,0,0.0,Board of Public Works,"Small businesses, veteran-owned small businesses, disabled veteran–owned small businesses, Maryland state procurement agencies","The bill has the potential to improve small businesses' access to government contracts, which can enhance their access to capital through increased revenue and credibility.",7.0
2024 Regular Session,HB0857,Shellfish Aquaculture - Harvest Hours,Repealing a restriction which prohibited the harvesting of shellfish between the hours of sunset and sunrise from certain areas leased for aquaculture; and requiring the Department of Natural Resources to establish by regulation the hours for harvesting shellfish within leased areas.,The bill repeals a restriction on harvesting hours for shellfish from leased aquaculture areas and requires the Department of Natural Resources to establish harvesting hours by regulation.,True,2024,0,0.0,Department of Natural Resources,Shellfish aquaculture leaseholders and the shellfish industry in Maryland,"The bill's impact on access to capital is indirect, primarily through regulatory changes that could influence shellfish industry operations.",3.0
2024 Regular Session,HB0860,Housing and Community Development - Community Action Boards,Requiring certain community action boards to meet certain federal requirements for tripartite boards; and repealing certain requirements relating to the composition of community action boards.,"The bill updates the requirements for community action boards in Maryland, mandating that they meet federal tripartite board requirements and repealing previous composition rules.",False,2024,0,0.0,Maryland Department of Housing and Community Development,Low-income residents and community organizations in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0864,Energy Efficiency and Conservation Plans,"Requiring each electric company, each gas company, and the Department of Housing and Community Development to develop a plan for achieving certain energy efficiency, conservation, and greenhouse gas emissions reduction targets through certain programs and services and superseding certain existing energy efficiency and conservation goals; requiring the Public Service Commission to establish a working group to study and make recommendations on extending certain program assistance to certain moderate-income households; etc.","The bill mandates the development and implementation of energy efficiency, conservation, demand response, and greenhouse gas emissions reduction programs by electric and gas utilities, the Department of Housing and Community Development, and the Department of the Environment. It establishes targets, funding coordination, and reporting requirements to support Maryland's climate and energy goals.",True,2024,2033,0.0,"Maryland Public Service Commission, Department of Housing and Community Development, Department of the Environment","Utility customers, low- and moderate-income residents, environmental groups, and state agencies involved in energy and climate policy","The bill promotes energy efficiency and conservation programs that could improve access to capital for small and moderate-sized businesses involved in energy services and upgrades, especially through coordinated funding and program expansion.",7.0
2024 Regular Session,HB0865,Maryland Medical Assistance Program and Health Insurance - Coverage for Prostheses (So Every Body Can Move Act),"Requiring the Maryland Medical Assistance Program and certain insurers, nonprofit health service plans, and health maintenance organizations to provide certain coverage related to prostheses; establishing that certain insurers, nonprofit health service plans, and health maintenance organizations must comply with certain provider network requirements; etc.","The bill requires the Maryland Medical Assistance Program and certain health insurers to provide coverage for orthoses and prostheses, including coverage for replacements and repairs, starting January 1, 2025. It also establishes provider network requirements and mandates nondiscriminatory utilization review.",True,2025,2030,0.0,Maryland Department of Health and Maryland Insurance Administration,"Individuals requiring orthoses and prostheses, including those with limb loss or neuromuscular disorders, and health insurers and providers in Maryland.","The bill's focus on coverage for orthoses and prostheses may improve access to necessary medical devices, but it does not directly create a program that impacts small business access to capital.",3.0
2024 Regular Session,HB0871,Business Regulation - Detached Catalytic Converters - Record-Keeping Requirements,"Requiring records of junk dealers, scrap metal processors, and automotive dismantlers and recyclers to include certain information about the vehicle from which a detached catalytic converter, or part of a detached catalytic converter, was obtained from a person.","The bill requires junk dealers, scrap metal processors, and automotive dismantlers to keep detailed records of their transactions, including specific information about detached catalytic converters and the vehicles they come from, to prevent theft and illegal resale.",True,2024,0,0.0,Maryland Department of Transportation and Maryland Business Regulation Department,"Junk dealers, scrap metal processors, automotive dismantlers, vehicle owners, law enforcement agencies","The program's primary focus is on record-keeping and regulation, with no direct impact on small business access to capital.",1.0
2024 Regular Session,HB0873,Appraisal Gap From Historic Redlining Financial Assistance Program – Alterations,"Expanding eligibility for financial assistance under the Appraisal Gap From Historic Redlining Financial Assistance Program to include individuals who purchase certain qualified property after a qualified project is completed, at an affordable sales price as determined by certain regulations, and as an owner-occupant.","The bill expands the eligibility for the Appraisal Gap From Historic Redlining Financial Assistance Program to include individuals who purchase certain qualified properties as owner-occupants, in addition to affordable housing developers.",True,2024,0,0.0,Maryland Department of Housing and Community Development,"Individuals purchasing qualified properties in low-income census tracts and sustainable communities, affordable housing developers",The program has a high potential to impact small business owners' access to capital by providing financial assistance for property development and purchase in targeted areas.,8.0
2024 Regular Session,HB0874,State Board of Long-Term Care Administrators - Requirements for Assisted Living Managers,"Extending, from October 1, 2024, to July 1, 2026, the date by which an individual must be licensed by the State Board of Long-Term Care Administrators before practicing as an assisted living manager in the State; altering the requirements for the manager training course that certain assisted living managers are required to complete; altering the requirements for serving as an interim assisted living manager; and requiring the Board to submit certain reports on assisted living managers to certain committees of the General Assembly.","The bill extends the deadline for assisted living managers to be licensed by the Maryland State Board of Long–Term Care Administrators, updates training and licensing requirements, and establishes reporting obligations for the Board regarding the implementation of licensure requirements.",False,2024,2026,0.0,Maryland State Board of Long–Term Care Administrators,"Assisted living managers, assisted living facilities, residents of assisted living facilities",The bill does not directly impact access to capital for small business owners.,1.0
2024 Regular Session,HB0877,Board of Public Works - Transparency Data Dashboard,"Requiring the Comptroller to develop and maintain on the Board of Public Works' website a procurement transparency data dashboard; establishing a governance committee composed of the liaisons to the Board from the offices of the Governor, the Comptroller, and the State Treasurer to review the contents of the dashboard for accuracy and completeness; and requiring the Governor, beginning in fiscal year 2025, to include in the annual budget bill such sums as are necessary for one full-time position and data dashboard development software.","The bill requires the Comptroller to develop and maintain a public, interactive, and searchable transparency data dashboard on the Board of Public Works' website. The dashboard will include information on state procurement activities, meeting announcements, agendas, contract spending, and procurement preference programs. A governance committee will review the dashboard for accuracy and completeness.",True,2024,0,0.0,Comptroller's Office and Board of Public Works,"State procurement agencies, vendors, minority and veteran-owned small businesses, and the general public interested in state procurement transparency.",The bill's focus on transparency and procurement data could indirectly improve access to capital for small businesses by providing clearer information on procurement opportunities and vendor payments.,4.0
2024 Regular Session,HB0882,Business Regulation - Sale of Motor Fuel - Pricing Signage (Gas Price Clarity Act),"Establishing that certain provisions governing signage at retail service stations supersede inconsistent local law; altering a signage requirement for retail service stations relating to the price of regular gasoline so that the signage prominently displays clearly and visibly the credit and debit price, if higher than the cash price, or the credit and debit price and the cash price; repealing an exemption from a certain signage requirement for retail service station dealers with not more than 3 dispensing units; etc.","The bill updates signage requirements for retail motor fuel stations in Maryland, including display of fuel prices and signage standards, and clarifies that state signage laws override local regulations.",False,2024,2024,0.0,"Maryland State Department of Labor, Licensing, and Regulation (or equivalent agency responsible for business regulation)","Retail fuel stations, motorists, and consumers in Maryland",The bill does not directly impact access to capital for small business owners.,1.0
