YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2023 Regular Session,HB0764,Montgomery County Housing Opportunities Commission - Collective Bargaining Agreement Implementation - Impasse Arbitration MC 10-23,Altering the terms and conditions of a certain final offer that the Executive Director of the Housing Opportunities Commission of Montgomery County is required to submit to the Montgomery Commission; authorizing the parties to a collective bargaining agreement for employees of the Montgomery Commission to request the services of a mediator-arbitrator during a term of a collective bargaining agreement under certain circumstances; and establishing the process for mediation-arbitration.,"The bill modifies procedures for collective bargaining and impasse resolution for employees of the Montgomery County Housing Opportunities Commission, including establishing mediation–arbitration processes, criteria for selecting final offers, and cost-sharing arrangements.",Montgomery County Housing Opportunities Commission and its designated mediator–arbitrator panel,Employees of the Montgomery County Housing Opportunities Commission and the Montgomery County community served by the Commission,The bill's focus is on public employee collective bargaining and does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0768,Economic Development - Western Maryland Economic Future Investment Board and Senator George C. Edwards Fund - Alterations,Altering the composition of the Western Maryland Economic Future Investment Board; establishing an Executive Director for the Board; and altering the manner in which decisions are made regarding certain proposals for funding.,"The bill establishes and modifies the Western Maryland Economic Future Investment Boards, including creating a Vetting Board and a Voting Board, and sets up the Senator George C. Edwards Fund to support economic development projects in Allegany, Garrett, and Washington counties.","The Western Maryland Economic Future Investment Boards, including the Vetting Board, Voting Board, and the Executive Director, as well as the Department of Commerce for certain appointments.","Residents, small businesses, and local governments in Allegany, Garrett, and Washington counties in Western Maryland.","The bill provides funding and support for economic development projects, which can help small businesses succeed and reduce failure rates in the region.",7.0
2023 Regular Session,HB0770,Blueprint for Maryland's Future - Various Policies and Prekindergarten Enrollment and Funding - Alterations,"Delaying the school year by which a public school is required to collect a certain alternative income eligibility form until after the State Department of Education has adopted the form; altering the duties of an assistant principal on the career ladder; delaying the date on which county boards of education must select certain experts to write curriculum; altering the definition of a ""Tier I child"" who may be enrolled in a full-day prekindergarten program beginning in a certain school year to include children who are homeless; etc.","The bill expands and enhances the Maryland prekindergarten program by including more children, increasing funding, and setting quality standards for providers. It also delays certain implementation deadlines and modifies the duties of education staff, including assistant principals and curriculum writers.",Maryland State Department of Education and local county school boards.,"Children eligible for prekindergarten, families of young children, prekindergarten providers, and educators in Maryland.","The bill encourages private prekindergarten providers to expand and meet quality standards, which could help stabilize and grow small education-related businesses.",7.0
2023 Regular Session,HB0774,"Assisted Living Programs - Unlicensed Programs - Resident Abuse, Exploitation, and Neglect (The Senator Delores Kelley Residents of Unlicensed Programs Protection Act)","Requiring the Maryland Department of Health or the Office of Health Care Quality to investigate whether residents in an assisted living program have been subject to neglect, exploitation, or abuse, if the assisted living program is operating without a license; subjecting certain assisted living programs operating without a license to immediate prosecution under a certain provision of law under certain circumstances; etc.","The bill enhances enforcement against unlicensed assisted living programs by requiring investigations into resident abuse, exploitation, or neglect, and establishing penalties including fines, imprisonment, and injunctive relief for operating without a license.",Maryland Department of Health and the Office of Health Care Quality,"Residents of assisted living programs, especially those in unlicensed facilities","The bill primarily targets illegal unlicensed operations and does not directly impact licensed small businesses, but it may reduce failures caused by legal penalties or shutdowns.",3.0
2023 Regular Session,HB0775,Public Safety - Emergency Management - Consumer Protections Against Price Gouging,"Prohibiting a person from selling an essential good or service for more than a certain increase in price during and for a certain time after a certain state of emergency; and requiring the Secretary of State to establish an electronic notification system by which a person may register to receive information on whether a state of emergency has been declared and an executive order issued, that the provisions of the Act are in effect, and which categories of essential goods and services are covered by the executive order.","The bill prohibits selling essential goods and services at prices more than 15% above the highest pre-emergency price during and for 90 days after a state of emergency, with certain exceptions for increased costs. It also requires the Secretary of State to establish an electronic notification system for emergency declarations and related information.",Secretary of State of Maryland,"Consumers and small businesses in Maryland, especially during and after states of emergency","The bill aims to prevent price gouging, which can cause financial strain on small businesses and consumers, potentially reducing business failures during emergencies.",7.0
2023 Regular Session,HB0777,Cigarettes - Wholesalers - Disclosure of Information,Requiring each licensed cigarette wholesaler to submit complete and accurate information in the form and manner the Comptroller requires to facilitate compliance with certain provisions of law relating to cigarettes.,"The bill requires licensed cigarette wholesalers in Maryland to submit complete and accurate quarterly reports of cigarettes sold, including brand and tax information, to the Comptroller. It also authorizes the disclosure of this information to the Attorney General for enforcement purposes and establishes penalties for violations, including license revocation and civil fines.",Maryland Comptroller's Office and the Attorney General's Office,Cigarette wholesalers and the tobacco industry in Maryland,"The bill's focus is on regulatory compliance and enforcement, with penalties for violations. It does not directly aim to reduce small business failure but may impact small wholesalers through increased compliance requirements.",3.0
2023 Regular Session,HB0778,"Montgomery County - Bicounty Agencies - Commissioner Discipline, Disclosures, Training, and Ethics MC/PG 105-23",Authorizing a bicounty commissioner and an applicant for the Maryland-National Capital Park and Planning Commission to submit certain financial statements to the Montgomery County Council electronically; authorizing the Council to discipline a Montgomery County commissioner under certain circumstances; prohibiting a Montgomery County commissioner from engaging in certain political activities while serving on the Commission; prohibiting the chair of the Montgomery County Planning Board from engaging in certain employment; etc.,"The bill makes various changes to the appointment, discipline, transparency, and meeting procedures of the Maryland–National Capital Park and Planning Commission, especially focusing on Montgomery County. It includes requirements for public hearings, financial disclosures, training, and restrictions on employment and political activities for commissioners from Montgomery County.","Montgomery County Council and Montgomery County Executive, Maryland–National Capital Park and Planning Commission, Maryland Ethics Commission","Commissioners from Montgomery County, residents of Montgomery County, and other stakeholders involved in the Maryland–National Capital Park and Planning Commission","The bill primarily addresses governance and transparency of the planning commission, with no direct measures targeting small business failure rates.",1.0
2023 Regular Session,HB0779,Tax Sales – Revisions,"Authorizing the governing body of a county or municipal corporation to file a motion with a court to request that a certain certificate of sale be assigned to the governing body of the county or municipal corporation in a certain foreclosure action under certain circumstances; providing that, on a grant of the motion by the court, the holder of the certificate of sale forfeits certain rights and the amount paid to acquire the certificate of sale; etc.","The bill revises Maryland's tax sale laws by allowing counties and municipal governments to request court assignment of certificates of sale, strike final judgments, and take ownership of properties under certain conditions, especially for properties that are vacant, blighted, or intended for demolition or redevelopment.","The governing body of each county or municipal corporation, with courts and tax collectors implementing the procedures.","County and municipal governments, property owners, and communities affected by vacant, blighted, or redevelopment properties.","The bill primarily targets properties that are vacant or blighted, which may indirectly support small businesses involved in redevelopment or property management, but it does not directly address small business failure rates.",3.0
2023 Regular Session,HB0781,Maryland Technology Development Corporation - Equitech Growth Fund and Commission,"Establishing the Equitech Growth Fund in the Maryland Technology Development Corporation to support the economic competitiveness and inclusive growth of emerging and advanced industries in the State through the creation of supporting infrastructure assets, resources, and a diverse workforce that builds the strengths of the State's economy; establishing the Equitech Growth Commission to create a strategic plan; requiring the Governor in each of fiscal years 2025 through 2033 to include $5,000,000 in the annual budget bill; etc.","The bill establishes the Equitech Growth Fund to support emerging and advanced industries in Maryland through grants, investments, and loans, and creates the Equitech Growth Commission to develop a strategic plan for growing the state's innovation economy over 10 years.",Maryland Technology Development Corporation,"Emerging and advanced industries, minority communities, workforce, higher education institutions, and private sector businesses in Maryland.","The program aims to provide financial assistance and strategic support to businesses, which could help reduce small business failure rates, especially in high-growth sectors.",7.0
2023 Regular Session,HB0783,Washington Suburban Sanitary Commission – Minority Business Enterprise Utilization Program – Revisions and Extension MC/PG 101–23,"Revising the minority business enterprise utilization program within the Washington Suburban Sanitary Commission, including altering the definition of ""minority business enterprise"", altering the duties of the Office of Supplier Diversity and Inclusion, and merging the program for design/build and construction contracts with the program for the procurement of goods and services; extending until July 1, 2028, provisions relating to procurement from minority business enterprises by the Commission; etc.","The bill revises and extends the Maryland Public Utilities' programs aimed at increasing minority and women-owned business participation in procurement contracts, including establishing certification standards, reporting requirements, and program administration.",The Office of Supplier Diversity and Inclusion within the Maryland Public Utilities Commission.,"Minority and women-owned businesses, small business enterprises, and the communities they serve.","The bill aims to support minority and women-owned businesses through certification, technical assistance, and targeted procurement programs, which could help reduce their failure rates.",8.0
2023 Regular Session,HB0784,"Prince George's County - Alcoholic Beverages - Class B and Class C Beer, Wine, and Liquor Licenses, Inspections, Penalties, and Workgroup PG 302-23","Authorizing the holder of a Class B beer, wine, and liquor license, a Class C (fraternal/sororal/service organization) beer, wine, and liquor license, or a Class C (veterans' organization or club) beer, wine and liquor license in Prince George's County to serve beer, wine, and liquor by the glass or by the bottle for on-premises consumption; establishing the Workgroup to Study Best Practices for Safe Event Promotion and the Leveraging of Alcoholic Beverages Licenses in Prince George's County; requiring a certain report by December 1, 2024; etc.","The bill authorizes certain types of alcohol licenses in Prince George's County to serve alcohol for on-premises consumption, establishes regulations for entertainment permits, inspections, and penalties, and creates a workgroup to study best practices for safe event promotion and leveraging alcohol licenses for revenue.",Prince George's County Board of License Commissioners and Prince George's County Police Department,"Alcohol license holders, event promoters, residents, and businesses in Prince George's County","The bill aims to improve the regulation and safety of alcohol-related events, which could help small businesses involved in event promotion and alcohol service by providing clearer guidelines and support for safe operations.",6.0
2023 Regular Session,HB0785,Health Insurance - Step Therapy or Fail-First Protocol and Prior Authorization - Revisions,"Requiring certain insurers, nonprofit health service plans, and health maintenance organizations to establish a certain process for requesting an exception to a step therapy or fail-first protocol; prohibiting certain insurers, nonprofit health service plans, and health maintenance organizations from requiring more than a certain number of prior authorizations for a prescription for different dosages of the same prescription drug; etc.","The bill revises regulations on step therapy protocols and prior authorization processes for prescription drugs under health insurance plans in Maryland. It prohibits certain restrictions on drugs used for mental health conditions and establishes clear procedures for requesting exceptions, including timely decision-making and limits on the number of prior authorizations required.",Maryland Department of Insurance and private review agents,"Insured individuals, healthcare providers, and prescription drug patients in Maryland, especially those with mental health conditions or on complex medication regimens.","The bill's provisions streamline the prior authorization process and reduce administrative burdens, which can help small healthcare providers and insurers manage costs and compliance more effectively, potentially reducing small business failure.",7.0
2023 Regular Session,HB0791,Law Enforcement Officers' Pension System - Membership - Emergency Medical Technicians,Authorizing membership in the Law Enforcement Officers' Pension System for certain emergency medical technicians under certain circumstances.,The bill authorizes emergency medical technicians employed by participating governmental units to become members of the Maryland Law Enforcement Officers' Pension System under certain conditions.,Maryland State Retirement Agency and the Board of Trustees of the Law Enforcement Officers’ Pension System.,Emergency medical technicians employed by participating governmental units in Maryland.,"The bill is unlikely to have a direct impact on small business failure rates, as it pertains to pension system membership for emergency medical technicians.",1.0
2023 Regular Session,HB0792,Law Enforcement Officers’ Pension System – Frostburg City Police Department,Requiring membership in the Law Enforcement Officers' Pension System for local law enforcement officers of the Frostburg City Police Department under certain circumstances; providing that an individual is entitled to eligibility service and creditable service that was earned before the effective date of the Frostburg City Police Department's participation in the Law Enforcement Officers' Pension System; etc.,"The bill mandates that Frostburg City Police Department officers become members of the Law Enforcement Officers' Pension System when the department joins the system, and it details the transfer of pension assets and service credits from other pension systems.",Maryland State Personnel and Pensions Department,Frostburg City Police Department officers and local law enforcement personnel in Frostburg,The bill does not directly impact small businesses or their failure rates.,1.0
2023 Regular Session,HB0794,Baltimore Regional Transit Commission - Establishment,"Establishing the Baltimore Regional Transit Commission to review and comment on annual budget requests of the Maryland Transit Administration, updates to the Central Maryland Transportation Plan, and certain annual reports and to perform other oversight and advocacy duties related to Baltimore region transit services; and requiring the Commission, by December 1 each year, to report its findings and recommendations on the Baltimore region transit systems to the Administration, the Governor, and the General Assembly.","The bill establishes the Baltimore Regional Transit Commission to oversee, review, and comment on transit planning, budgeting, and performance in the Baltimore region, including coordination with local transit plans and public input.","The Baltimore Regional Transit Commission, supported by the Baltimore Metropolitan Council and the Maryland Transit Administration.","Residents, commuters, transit riders, local businesses, and government agencies in the Baltimore region.","The bill aims to improve transit planning and oversight, which can support local businesses and economic stability, potentially reducing small business failures.",6.0
2023 Regular Session,HB0797,Maryland-National Capital Park and Planning Commission - Collective Bargaining Agreement Implementation - Dispute Arbitration MC/PG 103-23,Altering the requirement that economic provisions of a certain final collective bargaining agreement for employees of the Maryland-National Capital Park and Planning Commission be subject to funding by the Montgomery County Council and the Prince George's County Council to instead require that certain terms and conditions of the final agreement be subject to approval by the Montgomery County Council and the Prince George's County Council; etc.,"The bill modifies the collective bargaining process for employees of the Maryland–National Capital Park and Planning Commission, including establishing procedures for mediation and arbitration, and clarifies that economic terms requiring funding are subject to approval by county councils.",Maryland–National Capital Park and Planning Commission and the Montgomery and Prince George’s County Councils,Employees of the Maryland–National Capital Park and Planning Commission and the county governments of Montgomery and Prince George’s counties,"The bill aims to streamline and clarify the collective bargaining process, potentially reducing delays and uncertainties that could lead to business failure, especially for public entities and associated small businesses.",6.0
2023 Regular Session,HB0800,Execution on a Judgment - Child Support Arrearages - Workers' Compensation,Specifying that 25% of the net recovery by the debtor on a claim for workers' compensation is subject to execution on a judgment for a child support arrearage.,The bill specifies that 25% of the net recovery from workers' compensation insurance benefits can be used to satisfy child support arrearages through execution on a judgment.,Maryland Courts and Judicial Proceedings Department,Parents with child support arrearages and individuals receiving workers' compensation benefits in Maryland,The bill does not directly address small business failure rates.,0.0
2023 Regular Session,HB0802,Institutions of Higher Education – Sports Wagering Contracts – Prohibition,Prohibiting institutions of higher education from entering into a contract with a certain regulated gaming entity or a certain agent of a regulated gaming entity if the institution of higher education receives certain compensation for student participation in certain sports wagering; prohibiting institutions of higher education from entering into a contract with a sports marketing entity if the entity or the institution receives certain compensation for student participation in certain sports wagering; etc.,"The bill prohibits Maryland institutions of higher education from entering into contracts with regulated gaming entities or sports marketing entities if they receive incentives based on student participation in sports wagering, and makes such contracts subject to public inspection.",Maryland Higher Education Commission and the Maryland State Department of Education,Students attending Maryland higher education institutions and the institutions themselves,"The bill's restrictions on contracts related to sports wagering are unlikely to have a direct impact on the failure rate of small businesses, as it mainly restricts certain contractual arrangements involving higher education institutions.",2.0
2023 Regular Session,HB0803,State Retirement and Pension System - Administrative Fees,Altering the method by which administrative fees for participants in the State Retirement and Pension System are calculated by and remitted to the State Retirement and Pension System; and requiring the Board of Trustees for the State Retirement and Pension System to provide certain notice to local participating employers.,"The bill modifies how administrative fees for participants in the Maryland State Retirement and Pension System are calculated and reimbursed, including requiring the Board of Trustees to notify local employers of their fee estimates and establishing procedures for payments and reimbursements.",The Board of Trustees for the Maryland State Retirement and Pension System and the Maryland State Retirement Agency.,"Participants in the Maryland State Retirement and Pension System, including state and local government employees and employers.",The bill's focus on pension system administrative fees and reimbursements does not directly impact small business failure rates.,1.0
2023 Regular Session,HB0804,State Retirement and Pension System - Amortization of Unfunded Liabilities and Surpluses,Altering the amortization periods to be used for certain unfunded liabilities or surpluses of the State Retirement and Pension System.,"The bill modifies the funding and amortization periods for unfunded liabilities and surpluses of the Maryland State Retirement and Pension System, extending the periods for certain liabilities and allowing adjustments to mitigate volatility.",Maryland State Retirement and Pension System Board of Trustees,State employees and retirees participating in the Maryland State Retirement and Pension System,This bill does not directly impact small businesses or their failure rates.,0.0
2023 Regular Session,HB0806,Vehicle Laws – Autonomous Vehicle Converters – Sale of Autonomous Vehicles,"Authorizing an autonomous vehicle converter to sell, transfer, lease, offer for sale, or resell a converted autonomous vehicle or a motor vehicle purchased with the intent to convert the motor vehicle into a converted autonomous vehicle; establishing that certain portions of the Act apply only to motor vehicles intended for commercial or industrial use; and prohibiting an autonomous vehicle converter from holding certain occupational vehicle licenses issued under the Maryland Vehicle Law.","The bill authorizes autonomous vehicle converters to sell, transfer, lease, or resell converted autonomous vehicles, specifically for vehicles intended for commercial or industrial use, and clarifies that they cannot be licensed as manufacturers, distributors, or dealers.","Autonomous vehicle converters are responsible for implementing the programs, as they are the entities authorized to sell and resell converted autonomous vehicles.",Autonomous vehicle converters and businesses involved in converting and using autonomous vehicles for commercial or industrial purposes.,"The bill could potentially reduce small business failure by enabling autonomous vehicle converters to operate legally and sell converted vehicles, opening new business opportunities.",6.0
2023 Regular Session,HB0808,Reproductive Health Protection Act,"Prohibiting a judge from requiring a person to give certain testimony or a statement or to produce evidence for a case involving an alleged violation of the criminal law of another state relating to health care that is legally protected in the State; prohibiting a judge from issuing an ex parte order to intercept certain communication for the purpose of investigating or recovering evidence related to legally protected health care, subject to a certain exception; etc.","The Reproductive Health Protection Act prohibits certain interstate legal actions and investigations related to legally protected health care, such as abortion and reproductive services, unless they would be crimes in Maryland. It also restricts state agencies and private parties from assisting in investigations that would not be liable or sanctioned in Maryland, and it protects health care practitioners from disciplinary actions or adverse insurance actions related to providing legally protected health care.",Maryland State Department of Health and relevant health occupations boards,Individuals seeking or providing legally protected reproductive health care services in Maryland,"The bill's provisions mainly restrict interstate legal actions and investigations related to legally protected health care, which could reduce legal and financial risks for health care providers and associated small businesses.",4.0
2023 Regular Session,HB0809,State Procurement – Minority Business Enterprise Program – Extension and Reports,"Altering to July 1, 2025, the termination date for certain provisions of law governing the Minority Business Enterprise Program and its application to offshore wind projects and video lottery terminals; and altering the date by which certain reports, studies, and guidelines must be submitted.","The bill extends the termination dates of various laws and programs related to the Maryland Minority Business Enterprise Program, including reports, studies, and guidelines, to 2025. It also mandates new analyses and reports on the program's compliance with federal and constitutional requirements, especially concerning offshore wind projects and other capital projects.","The Maryland Office of Small, Minority, and Women Business Affairs, in consultation with the certification agency, the Office of the Attorney General, and the Maryland Public Service Commission.","Minority-owned businesses, small businesses participating in state procurement, and entities involved in offshore wind and other capital projects in Maryland.","The bill aims to improve the Minority Business Enterprise Program through extended oversight, analysis, and policy development, which could help minority and small businesses succeed and reduce their failure rates.",7.0
2023 Regular Session,HB0811,Hospitals - Testing for Fentanyl (The Josh Siems Act),"Requiring a hospital to include testing for fentanyl as part of a urine drug screening; and requiring the hospital, if a urine drug screening detects fentanyl, to report the deidentified test results  to the Maryland Department of Health through the State-designated health information exchange.","The bill requires hospitals in Maryland to include fentanyl testing in urine drug screens for patients with known or suspected drug overdoses when requested by a healthcare provider, and to report positive fentanyl results to the Department.",Hospitals and the Maryland Department of Health,"Patients with suspected or known drug overdoses, healthcare providers, hospitals, and public health officials",The bill does not directly impact small businesses or their failure rates.,1.0
2023 Regular Session,HB0812,Health - Reproductive Health Services - Protected Information and Insurance Requirements,"Regulating the disclosure of certain information related to legally protected health care by custodians of public records, health information exchanges, and electronic health networks; requiring that the regulations adopted by the Maryland Health Care Commission regarding clinical information to be exchanged through the State-designated exchange restrict data of patients who have obtained legally protected health care; establishing the Protected Health Care Commission; etc.","The bill regulates the disclosure of legally protected reproductive health care information, establishes standards for health information exchanges, and clarifies insurance coverage requirements for abortion and reproductive health services in Maryland.",Maryland Health Care Commission and the Maryland Department of Health,"Patients receiving reproductive health care, health care providers, health information exchanges, insurance companies, and the general public in Maryland.","The bill's provisions on data sharing and confidentiality are unlikely to have a direct impact on small business failure rates, but may influence healthcare providers and insurers.",2.0
2023 Regular Session,HB0814,Maryland Health Benefit Exchange - State-Based Young Adult Health Insurance Subsidies Pilot Program - Sunset Extension,"Extending the termination date of certain provisions of law that establish and govern the funding for the State-Based Young Adult Health Insurance Subsidies Pilot Program; and requiring the Maryland Health Benefit Exchange, in consultation with the Maryland Insurance Administration, to conduct a study on available federal and State subsidies and report its findings and recommendations to certain committees of the General Assembly on or before December 1, 2024.","The bill extends the duration of Maryland's Young Adult Health Insurance Subsidies Program, establishes a study on federal and state subsidies, and mandates the Maryland Health Benefit Exchange to report findings and recommendations.",Maryland Health Benefit Exchange,Young adults aged 18 to 40 in Maryland who are seeking health insurance coverage,"The bill primarily targets young adults and does not directly impact small business failure rates, but may indirectly influence health coverage stability.",2.0
2023 Regular Session,HB0815,"Cancer Screening - Health Insurance and Assessment of Outreach, Education, and Health Disparities","Requiring insurers, nonprofit health service plans, and health maintenance organizations to provide coverage for certain lung cancer diagnostic imaging and limiting the copayment, coinsurance, or deductible that the entities can require for lung cancer screening and diagnosis; and requiring the Maryland Department of Health to conduct an assessment on certain outreach, education, and health disparities in cancer screening and report the results to the General Assembly by January 1, 2024.","The bill establishes a Breast and Lung Cancer Screening Awareness Program in the Maryland Department of Health, mandates insurance coverage for breast and lung cancer screening and diagnostic imaging with limited copayments, and requires the Department to assess outreach, education, and disparities in cancer screening.",Maryland Department of Health and insurance regulatory agencies,"Individuals in Maryland, especially those at risk for breast and lung cancer, and underserved communities impacted by health disparities.","The bill's provisions for insurance coverage and assessment programs are aimed at improving early detection and reducing health disparities, which can contribute to better health outcomes and potentially reduce small business failures related to health costs and workforce health.",7.0
2023 Regular Session,HB0816,Procurement - Minority Business Enterprises and Veteran-Owned Small Business Enterprises - Participation Goal Scorecard,"Requiring the Governor's Office of Small, Minority, and Women Business Affairs to develop a scorecard to evaluate units of State government on the units' performance toward meeting certain participation goals under the Minority Business Enterprise Program and the Veteran-Owned Small Business Enterprise Program; establishing a certain grading scale for the scorecard; and requiring grades achieved by each unit to be published each year on the Office's website.","The bill requires the Maryland Office of Small, Minority, and Women Business Affairs to develop a scorecard to evaluate state agencies' performance in meeting participation goals for Minority Business Enterprises and Veteran–Owned Small Business Enterprises. The scorecard will include a grading scale and be published annually on the Office's website and in reports to the General Assembly.","Maryland Office of Small, Minority, and Women Business Affairs","State government units, minority business enterprises, veteran–owned small businesses, and the general public interested in procurement participation.","The program aims to improve participation of minority and veteran-owned small businesses in state procurement, which can enhance their success and reduce failure rates.",7.0
2023 Regular Session,HB0817,State Government - Regulation Procedures and the Maryland Register,"Requiring the Division of State Documents to make at least the 15 most recent issues of the Maryland Register available to the public for online searching; altering the requirements for a unit of State government to submit certain proposed or emergency regulations, work plans, and evaluation reports to the Joint Committee on Administrative, Executive, and Legislative Review, the Department of Legislative Services, and the Administrator of the Division of State Documents; etc.","The bill updates regulations procedures for Maryland state agencies, including making the Maryland Register more accessible online, streamlining submission and review processes for regulations, and establishing an electronic filing system for regulatory documents.",Department of Legislative Services and the Department of Information Technology,"Maryland state government agencies, the Joint Committee on Administrative, Executive, and Legislative Review, and the public interested in state regulations","The bill does not directly address small business failure rates but improves transparency and efficiency in regulatory processes, which could indirectly benefit small businesses.",3.0
2023 Regular Session,HB0824,"Public Safety - Regulated Firearms - Possession and Permits to Carry, Wear, and Transport a Handgun","Altering the penalty for a violation of the prohibition on wearing, carrying, or transporting a handgun; requiring the State Commission on Criminal Sentencing Policy to annually report certain information to the Governor and General Assembly; requiring the Department of State Police to transmit a certain summary of certain laws relating to firearms to certain persons; requiring the Secretary of State Police, in consultation with the Attorney General and the Maryland Department of Health, to develop a certain curriculum; etc.","The bill updates Maryland's firearm laws by altering penalties for carrying handguns, establishing reporting requirements, updating disqualifiers for firearm possession, and creating new programs for firearm safety and youth suicide prevention.",Maryland Department of State Police and the Office of the Attorney General,"Firearm owners, minors, law enforcement, youth and families at risk of firearm-related harm, and the general public","The bill does not directly address small business failure rates, but it includes provisions for firearm safety programs and training that could involve local businesses such as firearm dealers and training centers.",2.0
2023 Regular Session,HB0825,Town of Forest Heights (Prince George's County) - Urban Renewal Authority for Blight Clearance PG 410-23,"Granting the Town of Forest Heights in Prince George's County the authority to exercise urban renewal powers in areas zoned for commercial use for blight clearance and redevelopment under Article III, Section 61 of the Maryland Constitution; and authorizing the municipality to levy certain taxes and issue general obligation bonds and revenue bonds to carry out urban renewal powers.","The bill grants the Town of Forest Heights in Prince George's County the authority to exercise urban renewal powers for blight clearance and redevelopment in areas zoned for commercial or residential use. It authorizes the municipality to levy taxes, issue bonds, and undertake activities to eliminate blight, acquire and dispose of property, and promote redevelopment.","The Town of Forest Heights, Maryland, specifically its urban renewal agency or designated municipal government authority.","Residents, business owners, and property owners in the blighted areas of Forest Heights, Prince George's County.","The bill's provisions for urban renewal and redevelopment could help stabilize and revitalize commercial areas, potentially reducing small business failures in those zones.",7.0
2023 Regular Session,HB0827,Prince George's Gateway Development Authority - Established,"Establishing the Prince George's Gateway Development Authority in Prince George's County to support and develop a certain neighborhood revitalization plan in coordination with certain residents; and requiring the Authority to report its comprehensive neighborhood revitalization strategy to the Governor and certain committees of the General Assembly on or before October 31, 2025.","The bill establishes the Prince George's Gateway Arts Development Authority in Prince George's County to support neighborhood revitalization in specific target areas, including Mount Rainier, Brentwood, Cottage City, Bladensburg, Colmar Manor, and North Brentwood. The authority will develop a comprehensive neighborhood revitalization plan focusing on residents, housing, neighborhoods, economic development, and transportation.","The Prince George's Gateway Arts Development Authority, which includes local government officials, state agency representatives, and community residents.","Residents, local businesses, and communities within the target areas of Mount Rainier, Brentwood, Cottage City, Bladensburg, Colmar Manor, and North Brentwood.","The bill's focus on neighborhood revitalization and economic development may help improve local economic conditions, potentially reducing small business failures in the targeted areas.",6.0
2023 Regular Session,HB0830,Residential Construction - Electric Vehicle Charging,"Establishing and altering certain requirements related to the installation of equipment for the charging of electric vehicles during the construction of certain housing units; clarifying that a county or municipal corporation may require a greater number of electric vehicle parking spaces; requiring the Maryland Energy Administration to study certain issues related to the installation of electric vehicle parking spaces at multifamily residential buildings and submit a report to the Governor and the General Assembly by December 1, 2023; etc.","The bill requires new residential construction and significant renovations to include electric vehicle charging infrastructure, such as EV-ready or EVSE-installed parking spaces, especially in buildings with garages or communal parking. It also authorizes local governments to require more EV parking spaces and mandates a study on the costs and implementation of EV charging in multifamily buildings.",Maryland Energy Administration,"Residents of new and renovated residential buildings, especially those with parking facilities, and electric vehicle owners in Maryland.",The bill's focus on infrastructure requirements and a study on costs may help small businesses involved in construction and electrical work by providing clearer guidelines and potential support for EV infrastructure development.,6.0
2023 Regular Session,HB0834,Electric Vehicle Charging Infrastructure - Requirements (Electric Vehicle Charging Reliability Act),"Requiring the Public Service Commission to expand the EV Pilot Program to allow participating electric companies to install EV charging stations in multifamily dwellings in underserved communities; requiring the Commission to terminate the expansion of the EV Pilot Program on December 31, 2025; requiring an electric company operating an EV charging network to ensure the EV charging stations in the EV charging network maintain certain uptime standards, subject to certain exceptions; etc.","The bill requires the Maryland Public Service Commission to expand the Electric Vehicle (EV) Pilot Program to include installation of EV charging stations in multifamily dwellings in underserved communities, with a termination date of December 31, 2025. It mandates electric companies operating EV charging networks to maintain a minimum uptime of 97%, report detailed data quarterly, and ensure adequate staffing for maintenance and repairs. The bill aims to improve EV infrastructure reliability and expand access in underserved areas.",Maryland Public Service Commission,"Electric vehicle owners, residents of underserved communities, electric utility companies, and the general public interested in EV infrastructure development.","The bill's focus is on infrastructure reliability and expansion, which can support small businesses involved in EV charging station installation and maintenance, but it does not directly target small business failure reduction.",4.0
2023 Regular Session,HB0843,Baltimore Regional Water Governance Task Force,"Establishing the Baltimore Regional Water Governance Task Force to study approaches to water and wastewater governance in the Baltimore region; and requiring the Task Force to report its findings and recommendations to the Mayor of Baltimore City, the County Executive of Baltimore County, the Governor, and the General Assembly on or before January 30, 2024.
","The bill establishes the Baltimore Regional Water Governance Task Force to study and recommend improved governance models for water and wastewater services in the Baltimore region, including analysis of existing models, fiscal implications, and potential legislation.","Baltimore City and Baltimore County governments, with consultation from the Maryland Department of the Environment and the Maryland Environmental Service.","Residents and ratepayers in Baltimore City, Baltimore County, and surrounding counties served by the regional water and wastewater systems.","The bill aims to improve the management and efficiency of water and wastewater services, which can contribute to stable utility costs and reliable infrastructure, potentially reducing small business failures related to utility issues.",6.0
2023 Regular Session,HB0844,Housing and Community Development - Common Ownership Community Website,Requiring the Department of Housing and Community Development to establish and maintain a website that provides certain information on the rights and responsibilities of individuals living in a common ownership community.,"The bill requires the Maryland Department of Housing and Community Development to create and maintain a website that provides information about the rights and responsibilities of residents in common ownership communities, including links to local programs and recent legislation.",Maryland Department of Housing and Community Development,"Residents of common ownership communities such as condominiums, cooperatives, and homeowners associations in Maryland",The bill does not directly address small business failure rates; it focuses on community housing information and legislation transparency.,1.0
